"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"RRAS","RRAS",-1,-1,5,"6.12621064988161e-12",3.59302254615556e-08,NA,NA
"DARS","DARS",-1,-1,5,"1.58304780395468e-09",9.28299232239024e-06,NA,NA
"PPP1CB","PPP1CB",-1,-1,4,"2.14405881937552e-09",1.25706168579987e-05,NA,NA
"COPS3","COPS3",-1,-1,4,"1.59317831149863e-08",9.33921126200497e-05,NA,NA
"VPRBP","VPRBP",-1,-1,4,"1.94000978614994e-08",0.000113703973566248,NA,NA
"NLE1","NLE1",-1,-1,5,"2.15861951646801e-08",0.000126495103665025,NA,NA
"LONP1","LONP1",-1,-1,5,"4.54026386487172e-08",0.000266014059842834,NA,NA
"UBE2I","UBE2I",-1,-1,5,"7.34457691331514e-08",0.000430245315582001,NA,NA
"PPP2R3A","PPP2R3A",-1,-1,5,"9.69589266652804e-08",0.000567888433478547,NA,NA
"OR2AT4","OR2AT4",-1,-1,5,"1.01467875546213e-07",0.000594195879198623,NA,NA
"ZFP36L2","ZFP36L2",-1,-1,5,"1.8921706790298e-07",0.00110786593257195,NA,NA
"POU4F2","POU4F2",-1,-1,5,"1.96897408821783e-07",0.00115263743124272,NA,NA
"CA7","CA7",-1,-1,5,"2.78742425141587e-07",0.00163147941435371,NA,NA
"ATP1A1","ATP1A1",-1,-1,5,"3.92517655378732e-07",0.00229701331927634,NA,NA
"RACGAP1","RACGAP1",-1,-1,4,"4.21637324166113e-07",0.00246699998369593,NA,NA
"COPS8","COPS8",-1,-1,5,"4.7292571225821e-07",0.00276661541671053,NA,NA
"YAP1","YAP1",-1,-1,5,"6.87213101202566e-07",0.00401950942893381,NA,NA
"SNRPB2","SNRPB2",-1,-1,5,"9.29416338002476e-07",0.00543522674463848,NA,NA
"WDR74","WDR74",-1,-1,5,"9.45276304786802e-07",0.00552703055408843,NA,NA
"USP5","USP5",-1,-1,5,"1.00849137885106e-06",0.0058956406007633,NA,NA
"EPSTI1","EPSTI1",-1,-1,5,"1.16110946080106e-06",0.0067866847983822,NA,NA
"DDX24","DDX24",-1,-1,5,"1.23555112518936e-06",0.00722056077560662,NA,NA
"GAMT","GAMT",-1,-1,4,"1.46713009419042e-06",0.00857244114035462,NA,NA
"F2RL2","F2RL2",-1,-1,5,"2.01648891129391e-06",0.011780328219779,NA,NA
"CCNB1","CCNB1",-1,-1,5,"3.3965670505065e-06",0.0198393481420085,NA,NA
"MAFF","MAFF",-1,-1,5,"3.75338277402992e-06",0.0219197554003347,NA,NA
"TNFRSF13C","TNFRSF13C",-1,-1,5,"5.07691085482875e-06",0.0296440824813451,NA,NA
"RTP1","RTP1",-1,-1,5,"6.08522508804832e-06",0.0355255440640261,NA,NA
"ITGAV","ITGAV",-1,-1,5,"7.28271773775546e-06",0.0425092234352786,NA,NA
"XRCC5","XRCC5",-1,-1,5,"9.2402563224292e-06",0.0539261358976968,NA,NA
"ACADSB","ACADSB",-1,-1,5,"1.21328630517947e-05",0.0707952559072221,NA,NA
"MEIS1","MEIS1",-1,-1,5,"1.28155274246033e-05",0.0747657869951357,NA,NA
"TFEC","TFEC",-1,-1,5,"1.33569000386746e-05",0.0779107979255889,NA,NA
"CENPW","CENPW",-1,-1,3,"1.44331793582309e-05",0.0841743020172026,NA,NA
"TOP2A","TOP2A",-1,-1,4,"1.47294799855979e-05",0.0858875977960214,NA,NA
"HDAC11","HDAC11",-1,-1,5,"1.61232289423996e-05",0.0939984247341897,NA,NA
"PPP1CC","PPP1CC",-1,-1,5,"1.62338433914444e-05",0.0946270731287294,NA,NA
"STAP1","STAP1",-1,-1,5,"1.68874415574782e-05",0.0984200093969829,NA,NA
"PPP1R12A","PPP1R12A",-1,-1,5,"1.73971793179239e-05",0.101373363885543,NA,NA
"PRDM14","PRDM14",-1,-1,3,"1.77270050486511e-05",0.103277531413441,NA,NA
"DNAJC5","DNAJC5",-1,-1,5,"1.77279145530118e-05",0.103277531413441,NA,NA
"KIF18A","KIF18A",-1,-1,4,"1.84004947944016e-05",0.107164481682595,NA,NA
"PPARG","PPARG",-1,-1,5,"1.90762820257984e-05",0.111081190236224,NA,NA
"TLN1","TLN1",-1,-1,4,"2.06907747576368e-05",0.120461690638961,NA,NA
"OMG","OMG",-1,-1,5,"2.30278947132012e-05",0.134045375125544,NA,NA
"PSAT1","PSAT1",-1,-1,5,"2.82940267238851e-05",0.164671235533011,NA,NA
"CDC27","CDC27",-1,-1,5,"3.1434867862723e-05",0.182919496093185,NA,NA
"ADAP1","ADAP1",-1,-1,5,"3.22716637737308e-05",0.187756539835566,NA,NA
"KAT8","KAT8",-1,-1,4,"3.38998351255837e-05",0.19719534092552,NA,NA
"UBL5","UBL5",-1,-1,5,"3.41191064483493e-05",0.1984367231036,NA,NA
"PDE1C","PDE1C",-1,-1,4,"3.61585262461661e-05",0.210261830121456,NA,NA
"HNRPDL","HNRPDL",-1,-1,5,"3.79363485425444e-05",0.220561930426353,NA,NA
"FOS","FOS",-1,-1,4,"3.82516915848896e-05",0.222357083182963,NA,NA
"MKI67IP","MKI67IP",-1,-1,5,"3.87748344564676e-05",0.22535933786099,NA,NA
"NCKAP1","NCKAP1",-1,-1,5,"4.2183007865626e-05",0.245125458707153,NA,NA
"CDK1","CDK1",-1,-1,5,"4.31925847249603e-05",0.250948917252019,NA,NA
"NAA50","NAA50",-1,-1,5,"4.99356348899749e-05",0.290076103075864,NA,NA
"ADAR","ADAR",-1,-1,5,"4.99901616521914e-05",0.290342858875928,NA,NA
"MFNG","MFNG",-1,-1,5,"5.27209240921422e-05",0.30615040620307,NA,NA
"OGG1","OGG1",-1,-1,5,"6.57409363428174e-05",0.381691876406398,NA,NA
"GNL3","GNL3",-1,-1,4,"6.77612122396143e-05",0.393353837050961,NA,NA
"SNAI2","SNAI2",-1,-1,5,"7.24510774916531e-05",0.420506053761555,NA,NA
"KIAA1967","KIAA1967",-1,-1,5,"7.48307088469513e-05",0.434242603438858,NA,NA
"PROM1","PROM1",-1,-1,4,"7.95811343875519e-05",0.461729741716576,NA,NA
"FOXL2","FOXL2",-1,-1,5,"8.01747578633716e-05",0.465093770365419,NA,NA
"RBP5","RBP5",-1,-1,5,"8.3821420870489e-05",0.486164241048836,NA,NA
"INTS4","INTS4",-1,-1,5,"8.54004033368216e-05",0.495236938950228,NA,NA
"TMEM44","TMEM44",-1,-1,5,"8.86297523964297e-05",0.513875304394499,NA,NA
"NCOA6","NCOA6",-1,-1,4,"9.12847628850022e-05",0.529177770444358,NA,NA
"RORA","RORA",-1,-1,5,"9.23119297190356e-05",0.53503994465153,NA,NA
"DHX15","DHX15",-1,-1,5,"9.53815028220673e-05",0.55273580885388,NA,NA
"ERBB4","ERBB4",-1,-1,4,"0.000100625918010966",0.583026568955537,NA,NA
"AMIGO2","AMIGO2",-1,-1,5,"0.000111666773197627",0.646885617133853,NA,NA
"MSX2","MSX2",-1,-1,5,"0.00011197840111532",0.648578899259933,NA,NA
"UBTF","UBTF",-1,-1,5,"0.0001254811960828",0.726661606515495,NA,NA
"CEBPZ","CEBPZ",-1,-1,5,"0.000126509724678869",0.732491305890651,NA,NA
"PABPC4","PABPC4",-1,-1,5,"0.000138275257377418",0.800475464957873,NA,NA
"BTD","BTD",-1,-1,5,"0.000145052182788263",0.839562033978466,NA,NA
"BCLAF1","BCLAF1",-1,-1,5,"0.000156391408658196",0.90503708190498,NA,NA
"UTP18","UTP18",-1,-1,5,"0.000158439818104705",0.916732787553823,NA,NA
"TBX3","TBX3",-1,-1,5,"0.000159817307420651",0.924543123428466,NA,NA
"TOPBP1","TOPBP1",-1,-1,5,"0.000167278868102416",0.967540973104374,NA,NA
"ITGA8","ITGA8",-1,-1,4,"0.000170240290768287",0.984499601513004,NA,NA
"ETV5","ETV5",-1,-1,5,"0.000171185730896251",0.989795896042123,NA,NA
"WDR46","WDR46",-1,-1,5,"0.000171185730896251",0.989795896042123,NA,NA
"RBPJ","RBPJ",-1,-1,5,"0.00017620896420889",1,NA,NA
"PDE5A","PDE5A",-1,-1,5,"0.000181961994769386",1,NA,NA
"ILF2","ILF2",-1,-1,5,"0.000191830236544011",1,NA,NA
"PIP5K1B","PIP5K1B",-1,-1,5,"0.000193757516970594",1,NA,NA
"EGOT","EGOT",-1,-1,5,"0.000195537769056675",1,NA,NA
"CYP2C18","CYP2C18",-1,-1,5,"0.000204636392947655",1,NA,NA
"AATK","AATK",-1,-1,5,"0.000209740141237202",1,NA,NA
"COL21A1","COL21A1",-1,-1,5,"0.000255349813621186",1,NA,NA
"NRF1","NRF1",-1,-1,5,"0.000259397121569416",1,NA,NA
"KCNJ2","KCNJ2",-1,-1,5,"0.000268272695538196",1,NA,NA
"BUB3","BUB3",-1,-1,5,"0.000273543530677434",1,NA,NA
"AK1","AK1",-1,-1,5,"0.0002737560741497",1,NA,NA
"SIM1","SIM1",-1,-1,3,"0.000282523184048089",1,NA,NA
"POLM","POLM",-1,-1,4,"0.000285275639913984",1,NA,NA
"SRSF7","SRSF7",-1,-1,4,"0.000286210330327719",1,NA,NA
"TMED10","TMED10",-1,-1,5,"0.00029253555443276",1,NA,NA
"TMEM241","TMEM241",-1,-1,5,"0.000310446300776479",1,NA,NA
"JAM2","JAM2",-1,-1,5,"0.000316846549709093",1,NA,NA
"LPL","LPL",-1,-1,4,"0.000327931712205687",1,NA,NA
"CYP2J2","CYP2J2",-1,-1,5,"0.000329963718057713",1,NA,NA
"ZMYM2","ZMYM2",-1,-1,4,"0.000341613807729568",1,NA,NA
"ECI2","ECI2",-1,-1,5,"0.000345300085965561",1,NA,NA
"PPRC1","PPRC1",-1,-1,5,"0.000348641010808892",1,NA,NA
"GLTSCR2","GLTSCR2",-1,-1,4,"0.000369123992913889",1,NA,NA
"SOD1","SOD1",-1,-1,5,"0.000373030808631936",1,NA,NA
"TEAD1","TEAD1",-1,-1,5,"0.000374394422921864",1,NA,NA
"URI1","URI1",-1,-1,4,"0.000405101040694689",1,NA,NA
"CYR61","CYR61",-1,-1,4,"0.000407535290711358",1,NA,NA
"CASP8AP2","CASP8AP2",-1,-1,2,"0.000430358628181859",1,NA,NA
"SKP2","SKP2",-1,-1,5,"0.000432914085700786",1,NA,NA
"FOXE3","FOXE3",-1,-1,5,"0.000435990494506489",1,NA,NA
"OR2G2","OR2G2",-1,-1,4,"0.000444513383944578",1,NA,NA
"CES4A","CES4A",-1,-1,4,"0.000452376818380729",1,NA,NA
"SOX14","SOX14",-1,-1,5,"0.000459303663276955",1,NA,NA
"LRRC38","LRRC38",-1,-1,5,"0.000467075120638816",1,NA,NA
"PFDN5","PFDN5",-1,-1,5,"0.000476605608175751",1,NA,NA
"HAL","HAL",-1,-1,4,"0.000477967288891823",1,NA,NA
"USP10","USP10",-1,-1,5,"0.000497503255142084",1,NA,NA
"RAC1","RAC1",-1,-1,4,"0.000498452042272501",1,NA,NA
"ATP5J2","ATP5J2",-1,-1,5,"0.000499563875602793",1,NA,NA
"DRAP1","DRAP1",-1,-1,5,"0.000499563875602793",1,NA,NA
"ARFGAP2","ARFGAP2",-1,-1,5,"0.000527697403965743",1,NA,NA
"SLAMF8","SLAMF8",-1,-1,5,"0.000540031332718849",1,NA,NA
"HPD","HPD",-1,-1,5,"0.000572260842322314",1,NA,NA
"UBE3C","UBE3C",-1,-1,5,"0.000589335102964439",1,NA,NA
"HHLA2","HHLA2",-1,-1,5,"0.000607216525691068",1,NA,NA
"KLC2","KLC2",-1,-1,4,"0.000624812681307318",1,NA,NA
"CYP4F12","CYP4F12",-1,-1,4,"0.000634391415630375",1,NA,NA
"MAST3","MAST3",-1,-1,4,"0.000637798297592251",1,NA,NA
"ARL9","ARL9",-1,-1,5,"0.000639237496085854",1,NA,NA
"ITLN1","ITLN1",-1,-1,5,"0.000695596981362123",1,NA,NA
"USP1","USP1",-1,-1,5,"0.000710973690109196",1,NA,NA
"TP73","TP73",-1,-1,5,"0.000723377297219274",1,NA,NA
"HOXC13","HOXC13",-1,-1,5,"0.000725229497377966",1,NA,NA
"MASTL","MASTL",-1,-1,5,"0.000728014909607166",1,NA,NA
"COL4A3","COL4A3",-1,-1,5,"0.000735484538062492",1,NA,NA
"PITX3","PITX3",-1,-1,5,"0.000778652097802035",1,NA,NA
"KCNG1","KCNG1",-1,-1,5,"0.000780616653241584",1,NA,NA
"CS","CS",-1,-1,5,"0.000782585171971273",1,NA,NA
"SART3","SART3",-1,-1,5,"0.000796476279479541",1,NA,NA
"ANKRD65","ANKRD65",-1,-1,5,"0.000798977458647987",1,NA,NA
"MPP3","MPP3",-1,-1,5,"0.000810057408244025",1,NA,NA
"PEX1","PEX1",-1,-1,5,"0.000816152619631416",1,NA,NA
"RELA","RELA",-1,-1,5,"0.000831551288170362",1,NA,NA
"UBL4B","UBL4B",-1,-1,5,"0.000837775445448163",1,NA,NA
"ZBTB48","ZBTB48",-1,-1,5,"0.000849283175141435",1,NA,NA
"CDK11B","CDK11B",-1,-1,5,"0.000859323119037914",1,NA,NA
"SOCS7","SOCS7",-1,-1,4,"0.000883796506059853",1,NA,NA
"PIP5K1C","PIP5K1C",-1,-1,4,"0.000886706719782526",1,NA,NA
"PVRL3","PVRL3",-1,-1,5,"0.00088674268895883",1,NA,NA
"BARHL1","BARHL1",-1,-1,5,"0.000927768178053956",1,NA,NA
"RRP9","RRP9",-1,-1,4,"0.000935770873945807",1,NA,NA
"FAM118A","FAM118A",-1,-1,5,"0.000941966126589588",1,NA,NA
"ADRA2C","ADRA2C",-1,-1,3,"0.000954770330419241",1,NA,NA
"CNBP","CNBP",-1,-1,5,"0.000965043947474764",1,NA,NA
"CEL","CEL",-1,-1,4,"0.000966480803363257",1,NA,NA
"DDX5","DDX5",-1,-1,5,"0.000970298256809055",1,NA,NA
"SETDB2","SETDB2",-1,-1,5,"0.000980875534041803",1,NA,NA
"NOS1","NOS1",-1,-1,5,"0.000986791532246456",1,NA,NA
"TFAP2A","TFAP2A",-1,-1,5,"0.000998709163886558",1,NA,NA
"LMX1B","LMX1B",-1,-1,5,"0.00102350032040488",1,NA,NA
"PMP22","PMP22",-1,-1,5,"0.00102411107353828",1,NA,NA
"CYP26C1","CYP26C1",-1,-1,4,"0.0010301619974209",1,NA,NA
"TIAL1","TIAL1",-1,-1,5,"0.00103084862187253",1,NA,NA
"RBM19","RBM19",-1,-1,5,"0.00103330741247143",1,NA,NA
"ALG8","ALG8",-1,-1,5,"0.0010407119484025",1,NA,NA
"KIDINS220","KIDINS220",-1,-1,5,"0.0010407119484025",1,NA,NA
"SUV420H2","SUV420H2",-1,-1,4,"0.00104656226015243",1,NA,NA
"NR1H2","NR1H2",-1,-1,4,"0.00104903908463194",1,NA,NA
"SLC7A9","SLC7A9",-1,-1,4,"0.00105732692764227",1,NA,NA
"NPM1","NPM1",-1,-1,5,"0.00108988276654343",1,NA,NA
"KCNH5","KCNH5",-1,-1,5,"0.00109181039705664",1,NA,NA
"CCNK","CCNK",-1,-1,5,"0.00109631880960903",1,NA,NA
"PRDM16","PRDM16",-1,-1,4,"0.00109950517505164",1,NA,NA
"GUCA1C","GUCA1C",-1,-1,5,"0.00111777380677602",1,NA,NA
"CSNK1D","CSNK1D",-1,-1,5,"0.00113093942829778",1,NA,NA
"NOC2L","NOC2L",-1,-1,5,"0.00114356139272609",1,NA,NA
"TLR4","TLR4",-1,-1,5,"0.0011442288148984",1,NA,NA
"PROCR","PROCR",-1,-1,5,"0.00116439685978642",1,NA,NA
"CENPE","CENPE",-1,-1,4,"0.00116870316061768",1,NA,NA
"DNAJC2","DNAJC2",-1,-1,4,"0.00119126651942425",1,NA,NA
"DACH1","DACH1",-1,-1,5,"0.00119933450087228",1,NA,NA
"TRIP12","TRIP12",-1,-1,4,"0.00120496040586893",1,NA,NA
"IRF9","IRF9",-1,-1,4,"0.00122525790954231",1,NA,NA
"CCNL1","CCNL1",-1,-1,5,"0.00123368711216409",1,NA,NA
"ARPC4","ARPC4",-1,-1,5,"0.00126447764216508",1,NA,NA
"BCAN","BCAN",-1,-1,5,"0.00126809746521417",1,NA,NA
"PMEL","PMEL",-1,-1,5,"0.00126882242359594",1,NA,NA
"POU1F1","POU1F1",-1,-1,5,"0.00127609025997277",1,NA,NA
"FKBP15","FKBP15",-1,-1,5,"0.00127827709259853",1,NA,NA
"CRK","CRK",-1,-1,5,"0.00128852198868379",1,NA,NA
"ARG2","ARG2",-1,-1,5,"0.00130475373457906",1,NA,NA
"CA11","CA11",-1,-1,5,"0.00133091374742966",1,NA,NA
"WDR5B","WDR5B",-1,-1,4,"0.00137157693617784",1,NA,NA
"ACVR2B","ACVR2B",-1,-1,4,"0.00141244048605615",1,NA,NA
"FOSL1","FOSL1",-1,-1,5,"0.00144621291131031",1,NA,NA
"SATB2","SATB2",-1,-1,5,"0.00146401323312839",1,NA,NA
"TULP4","TULP4",-1,-1,5,"0.00149599886294771",1,NA,NA
"GLYR1","GLYR1",-1,-1,5,"0.00150096895359231",1,NA,NA
"ARL2","ARL2",-1,-1,5,"0.00150761628017826",1,NA,NA
"ESPN","ESPN",-1,-1,4,"0.00157610158801857",1,NA,NA
"GRTP1","GRTP1",-1,-1,5,"0.00157625642778636",1,NA,NA
"MASP1","MASP1",-1,-1,5,"0.00158143863533478",1,NA,NA
"CA2","CA2",-1,-1,4,"0.00160091716206134",1,NA,NA
"GNMT","GNMT",-1,-1,5,"0.00160755452449723",1,NA,NA
"GPR149","GPR149",-1,-1,5,"0.00164826796360784",1,NA,NA
"CES3","CES3",-1,-1,5,"0.0016518468737412",1,NA,NA
"BCS1L","BCS1L",-1,-1,5,"0.00166532319674684",1,NA,NA
"ADNP","ADNP",-1,-1,5,"0.0016916267959376",1,NA,NA
"EFNB3","EFNB3",-1,-1,5,"0.00169711018358576",1,NA,NA
"DEPDC1B","DEPDC1B",-1,-1,5,"0.00169985720452959",1,NA,NA
"ROS1","ROS1",-1,-1,3,"0.00170247009493651",1,NA,NA
"BTBD17","BTBD17",-1,-1,5,"0.00171918611295141",1,NA,NA
"C1QL2","C1QL2",-1,-1,5,"0.0017265955872422",1,NA,NA
"BCAR1","BCAR1",-1,-1,5,"0.00177538229531238",1,NA,NA
"OVOL1","OVOL1",-1,-1,5,"0.00181848603299195",1,NA,NA
"HOXB6","HOXB6",-1,-1,5,"0.00182720637693967",1,NA,NA
"PIK3CA","PIK3CA",-1,-1,4,"0.00182887603413506",1,NA,NA
"ASXL2","ASXL2",-1,-1,4,"0.00183641001238566",1,NA,NA
"PRPF6","PRPF6",-1,-1,5,"0.00185455050315264",1,NA,NA
"PSG3","PSG3",-1,-1,5,"0.00188421004915018",1,NA,NA
"MUC1","MUC1",-1,-1,5,"0.00188620076184731",1,NA,NA
"PHF23","PHF23",-1,-1,5,"0.00190118480191226",1,NA,NA
"SREBF1","SREBF1",-1,-1,4,"0.00192343175865028",1,NA,NA
"GKN1","GKN1",-1,-1,5,"0.00194058938993502",1,NA,NA
"ATG5","ATG5",-1,-1,4,"0.00194434908661234",1,NA,NA
"MLF1","MLF1",-1,-1,5,"0.00194568814978668",1,NA,NA
"OR2G3","OR2G3",-1,-1,4,"0.0020081256233927",1,NA,NA
"SP7","SP7",-1,-1,5,"0.0020182032129753",1,NA,NA
"FBXO5","FBXO5",-1,-1,5,"0.0020203063837817",1,NA,NA
"ZNF367","ZNF367",-1,-1,5,"0.00202451798551861",1,NA,NA
"RCBTB1","RCBTB1",-1,-1,5,"0.00204568148171946",1,NA,NA
"APCDD1L","APCDD1L",-1,-1,5,"0.00207775823094525",1,NA,NA
"RTN4RL2","RTN4RL2",-1,-1,5,"0.0020809879058038",1,NA,NA
"RBBP8","RBBP8",-1,-1,5,"0.00208530038503618",1,NA,NA
"FCN1","FCN1",-1,-1,5,"0.00211132564832506",1,NA,NA
"P2RY6","P2RY6",-1,-1,5,"0.00211350609356631",1,NA,NA
"RARG","RARG",-1,-1,5,"0.00212662662696084",1,NA,NA
"KLF16","KLF16",-1,-1,5,"0.00212991691970121",1,NA,NA
"NKX2-1","NKX2-1",-1,-1,5,"0.00213871094808993",1,NA,NA
"PARP12","PARP12",-1,-1,5,"0.00215085014115579",1,NA,NA
"TAS1R2","TAS1R2",-1,-1,5,"0.00215195643153199",1,NA,NA
"EME1","EME1",-1,-1,5,"0.00220898390740765",1,NA,NA
"FRMPD1","FRMPD1",-1,-1,5,"0.00223281429115241",1,NA,NA
"RBM14","RBM14",-1,-1,4,"0.00226871292901443",1,NA,NA
"SLC37A3","SLC37A3",-1,-1,5,"0.00226952232312405",1,NA,NA
"LRRC3B","LRRC3B",-1,-1,5,"0.00229620318147605",1,NA,NA
"MIR200A","MIR200A",-1,-1,5,"0.00236102363880908",1,NA,NA
"HS3ST6","HS3ST6",-1,-1,5,"0.00236221559317962",1,NA,NA
"ARAP2","ARAP2",-1,-1,4,"0.00237669247044991",1,NA,NA
"C10orf2","C10orf2",-1,-1,5,"0.00238735805256096",1,NA,NA
"DDX39A","DDX39A",-1,-1,5,"0.00238856063045378",1,NA,NA
"MTSS1L","MTSS1L",-1,-1,5,"0.00240423829207559",1,NA,NA
"CDX1","CDX1",-1,-1,5,"0.00241150184542371",1,NA,NA
"TBC1D2B","TBC1D2B",-1,-1,5,"0.00244073182469362",1,NA,NA
"EIF4B","EIF4B",-1,-1,5,"0.00245914401818526",1,NA,NA
"NPTXR","NPTXR",-1,-1,5,"0.00246037543710542",1,NA,NA
"NUP54","NUP54",-1,-1,5,"0.00248759171029123",1,NA,NA
"GEMIN5","GEMIN5",-1,-1,5,"0.00248883451168613",1,NA,NA
"HPSE","HPSE",-1,-1,4,"0.00251225839657943",1,NA,NA
"KCNE3","KCNE3",-1,-1,5,"0.00251755632722217",1,NA,NA
"POLB","POLB",-1,-1,5,"0.00252635017670266",1,NA,NA
"HOXD9","HOXD9",-1,-1,5,"0.0025541480959691",1,NA,NA
"GPIHBP1","GPIHBP1",-1,-1,2,"0.00257589784686596",1,NA,NA
"THRAP3","THRAP3",-1,-1,4,"0.00258623800424163",1,NA,NA
"EIF3I","EIF3I",-1,-1,5,"0.00260918684224343",1,NA,NA
"NCOA4","NCOA4",-1,-1,4,"0.0026205491440473",1,NA,NA
"CYP1A2","CYP1A2",-1,-1,5,"0.00262082574025579",1,NA,NA
"SRPK1","SRPK1",-1,-1,5,"0.00262082574025579",1,NA,NA
"TMEM41A","TMEM41A",-1,-1,5,"0.00262730971861191",1,NA,NA
"SLC1A5","SLC1A5",-1,-1,5,"0.00263120626129676",1,NA,NA
"BRSK1","BRSK1",-1,-1,5,"0.00264945130375815",1,NA,NA
"KCNN2","KCNN2",-1,-1,3,"0.00267341163904222",1,NA,NA
"TBX5","TBX5",-1,-1,5,"0.00271544017037029",1,NA,NA
"DLX3","DLX3",-1,-1,5,"0.00273951543856643",1,NA,NA
"FERMT3","FERMT3",-1,-1,5,"0.00274892402803428",1,NA,NA
"CHEK2","CHEK2",-1,-1,5,"0.00281276762256433",1,NA,NA
"HOXB7","HOXB7",-1,-1,4,"0.00284759494102715",1,NA,NA
"FABP1","FABP1",-1,-1,5,"0.00288198291396502",1,NA,NA
"ATP1A3","ATP1A3",-1,-1,5,"0.002914276071319",1,NA,NA
"RPP40","RPP40",-1,-1,5,"0.00298547764801027",1,NA,NA
"STIL","STIL",-1,-1,4,"0.0030099812555604",1,NA,NA
"UBA6","UBA6",-1,-1,5,"0.00301000066670276",1,NA,NA
"ABCA6","ABCA6",-1,-1,5,"0.00302159653165368",1,NA,NA
"PEX14","PEX14",-1,-1,4,"0.00304107064405779",1,NA,NA
"SCN4B","SCN4B",-1,-1,5,"0.00305074260757343",1,NA,NA
"CD226","CD226",-1,-1,5,"0.00310377210313806",1,NA,NA
"TGIF1","TGIF1",-1,-1,5,"0.00313654030080435",1,NA,NA
"NBR1","NBR1",-1,-1,4,"0.00316595020198751",1,NA,NA
"CDH16","CDH16",-1,-1,4,"0.00317731805270194",1,NA,NA
"RSU1","RSU1",-1,-1,5,"0.00317864494054021",1,NA,NA
"IRF8","IRF8",-1,-1,4,"0.00317921566665824",1,NA,NA
"TG","TG",-1,-1,3,"0.00320401842151752",1,NA,NA
"GPNMB","GPNMB",-1,-1,4,"0.00324231522312468",1,NA,NA
"KLF13","KLF13",-1,-1,5,"0.0032673003520568",1,NA,NA
"MTR","MTR",-1,-1,3,"0.00328347675077045",1,NA,NA
"NPR1","NPR1",-1,-1,4,"0.00328490027773531",1,NA,NA
"NSF","NSF",-1,-1,5,"0.00330144111980313",1,NA,NA
"DLX5","DLX5",-1,-1,5,"0.00330299972643811",1,NA,NA
"TFAM","TFAM",-1,-1,5,"0.00330767907859053",1,NA,NA
"RXRB","RXRB",-1,-1,5,"0.00333115545767837",1,NA,NA
"GTF3C1","GTF3C1",-1,-1,5,"0.00335950286853337",1,NA,NA
"RAB3GAP1","RAB3GAP1",-1,-1,5,"0.00344248106575007",1,NA,NA
"GPR31","GPR31",-1,-1,5,"0.00344570496565433",1,NA,NA
"LMO1","LMO1",-1,-1,5,"0.00344570496565433",1,NA,NA
"ACVR2A","ACVR2A",-1,-1,5,"0.00345054534388389",1,NA,NA
"RAB36","RAB36",-1,-1,3,"0.00347000554322729",1,NA,NA
"GRIA4","GRIA4",-1,-1,5,"0.00350905536772528",1,NA,NA
"PKHD1","PKHD1",-1,-1,4,"0.0035451657810941",1,NA,NA
"SUDS3","SUDS3",-1,-1,5,"0.00356172810730082",1,NA,NA
"CSNK1A1","CSNK1A1",-1,-1,4,"0.00357616157609042",1,NA,NA
"SCYL1","SCYL1",-1,-1,4,"0.00357616157609042",1,NA,NA
"GPR84","GPR84",-1,-1,5,"0.00361838400037529",1,NA,NA
"NFE2L2","NFE2L2",-1,-1,5,"0.00362845651007282",1,NA,NA
"NPBWR2","NPBWR2",-1,-1,5,"0.00365542623972437",1,NA,NA
"ALG10","ALG10",-1,-1,5,"0.00367066703733443",1,NA,NA
"BTN1A1","BTN1A1",-1,-1,5,"0.00368595862813426",1,NA,NA
"SETD3","SETD3",-1,-1,3,"0.00369742699875919",1,NA,NA
"RAE1","RAE1",-1,-1,5,"0.00375453909047507",1,NA,NA
"UBASH3B","UBASH3B",-1,-1,5,"0.00378747039656713",1,NA,NA
"TIMM50","TIMM50",-1,-1,5,"0.00384873804854347",1,NA,NA
"C1QA","C1QA",-1,-1,5,"0.00389476235027686",1,NA,NA
"TTK","TTK",-1,-1,2,"0.0039286489316902",1,NA,NA
"NEGR1","NEGR1",-1,-1,5,"0.00395921411906353",1,NA,NA
"DHX40","DHX40",-1,-1,5,"0.00396101654712688",1,NA,NA
"KCTD8","KCTD8",-1,-1,5,"0.00399538759764861",1,NA,NA
"KLF11","KLF11",-1,-1,5,"0.00400811059216177",1,NA,NA
"TFAP2E","TFAP2E",-1,-1,5,"0.00403731345598313",1,NA,NA
"LHX3","LHX3",-1,-1,5,"0.00405197857994444",1,NA,NA
"FUBP1","FUBP1",-1,-1,5,"0.00405381471277788",1,NA,NA
"TBX21","TBX21",-1,-1,5,"0.00408513095041207",1,NA,NA
"DAD1","DAD1",-1,-1,3,"0.00409817604230334",1,NA,NA
"MED4","MED4",-1,-1,5,"0.0041203601702694",1,NA,NA
"CSDE1","CSDE1",-1,-1,5,"0.00413340045149857",1,NA,NA
"PRKD3","PRKD3",-1,-1,5,"0.00425034760724929",1,NA,NA
"DMGDH","DMGDH",-1,-1,5,"0.00425989293893914",1,NA,NA
"WDR37","WDR37",-1,-1,5,"0.00426371586998797",1,NA,NA
"WWTR1","WWTR1",-1,-1,5,"0.00428287171686736",1,NA,NA
"HADHA","HADHA",-1,-1,5,"0.00430787718398185",1,NA,NA
"ADRM1","ADRM1",-1,-1,5,"0.00438555056179968",1,NA,NA
