"","#wt","#mut","pvalue","p_adj","tcga_pvalue","tcga_tumor_vs_normal"
"KRAS",19,21,4.23482533629895e-07,0.00233000090003168,4.70541650638567e-17,"down"
"SBK1",36,4,1.44356658095532e-05,0.0397125166420809,3.70358998034051e-46,"up"
"IL6R",37,3,0.000351561789356985,0.644764321680711,6.51707160959499e-25,"down"
"KIF2B",35,5,0.000498904153585875,0.686242663257371,0.142807038742952,"up"
"PYROXD1",36,4,0.000752281782461536,0.827810873420674,5.84953610578122e-13,"down"
"USPL1",34,6,0.000935666247851184,0.858005949279536,5.68672040885923e-69,"up"
"TP53",22,18,0.00133203476749074,0.902021699846489,3.59814644322618e-36,"up"
"TNFRSF25",34,6,0.00174600599718134,0.902021699846489,2.10069577735766e-08,"up"
"POLE2",37,3,0.00189645988337465,0.902021699846489,6.35201837641846e-37,"up"
"CSMD1",24,16,0.00206404473652805,0.902021699846489,8.88849977100404e-06,"down"
"DDX27",37,3,0.00211666292203135,0.902021699846489,1.15768257767812e-95,"up"
"KCNK3",34,6,0.00218452166524462,0.902021699846489,3.10989236899097e-06,"down"
"DNM2",34,6,0.00290305181503312,0.902021699846489,1.81382547449268e-08,"down"
"GPR149",31,9,0.00294665996042031,0.902021699846489,0.00980633947721484,"down"
"KEAP1",35,5,0.00327687771850066,0.902021699846489,1.02573384052253e-27,"up"
"RASL10A",38,2,0.00355737137670242,0.902021699846489,9.8291919248643e-12,"up"
"PDE5A",34,6,0.00359884079810523,0.902021699846489,6.37420387878438e-09,"down"
"CIC",29,11,0.00367415328717918,0.902021699846489,0.608039415887228,"up"
"OLIG3",37,3,0.00395680787635919,0.902021699846489,0.00153760920784284,"up"
"ASB4",37,3,0.00457084264824529,0.902021699846489,1.29423782526975e-07,"up"
"SERPINE3",35,5,0.00462776163842954,0.902021699846489,7.47996746757974e-05,"up"
"SDR9C7",36,4,0.00478521654553188,0.902021699846489,0.865678353791166,"up"
"IRX4",37,3,0.0053890471456399,0.902021699846489,0.0931025548267437,"up"
"MCRS1",38,2,0.00568064406514605,0.902021699846489,1.77033079088328e-24,"up"
"KAT8",37,3,0.00597859653078754,0.902021699846489,2.310827804668e-15,"up"
"F13A1",35,5,0.00630686139639673,0.902021699846489,4.18210525723898e-09,"down"
"PDE4B",36,4,0.00661496409619702,0.902021699846489,0.965347497460147,"down"
"TENM4",29,11,0.00663978849308839,0.902021699846489,2.4290696944452e-14,"up"
"LONP1",37,3,0.00676288200220847,0.902021699846489,6.31583527072327e-59,"up"
"CBX5",39,1,0.00705239832712366,0.902021699846489,2.26704356962985e-16,"up"
"NDN",36,4,0.00732805404875067,0.902021699846489,3.18535669090019e-16,"down"
"LRRC31",37,3,0.0078188928269475,0.902021699846489,2.58692412874024e-13,"down"
"PPIL2",37,3,0.00784475682465518,0.902021699846489,0.542606420732662,"up"
"LATS1",35,5,0.00791394184623772,0.902021699846489,0.00190851690401585,"up"
"TXK",37,3,0.00806444851073124,0.902021699846489,2.68901113725849e-05,"down"
"BRAF",22,18,0.00860380158937892,0.902021699846489,2.82783316788097e-07,"up"
"UBE2F",38,2,0.00887824474025451,0.902021699846489,2.37418701356421e-07,"up"
"WDR65",37,3,0.00936846362170798,0.902021699846489,NA,NA
"TENC1",30,10,0.00962981823550393,0.902021699846489,NA,NA
"MGA",30,10,0.00967561622473858,0.902021699846489,1.16824048963011e-09,"up"
"MAT2B",37,3,0.00985007455983461,0.902021699846489,4.35164512472508e-07,"down"
"SRGAP1",37,3,0.0105433995250119,0.902021699846489,0.0182774503264026,"down"
"CBS",34,6,0.0107035767682128,0.902021699846489,2.33287915266451e-13,"up"
"CCNY",38,2,0.0111608992230856,0.902021699846489,0.0655908732038645,"up"
"DDX3X",37,3,0.0111980422346771,0.902021699846489,0.439103807880071,"down"
"MAPKAPK2",36,4,0.0112574295450548,0.902021699846489,2.06513034567588e-10,"up"
"ADRBK2",36,4,0.0112823306611469,0.902021699846489,NA,NA
"PRKCD",36,4,0.0114519099344623,0.902021699846489,5.3913977184724e-10,"down"
"RNF40",36,4,0.011634912055422,0.902021699846489,0.000541642972097909,"up"
"RAPSN",38,2,0.0117392063308492,0.902021699846489,0.619356936815135,"down"
"SLK",38,2,0.0118293542052855,0.902021699846489,0.0124593176660953,"down"
"MALT1",36,4,0.0118781156488573,0.902021699846489,0.00902882372623043,"up"
"UTY",37,3,0.0120018430004142,0.902021699846489,0.47479500150941,"down"
"TSNARE1",39,1,0.0120379916606543,0.902021699846489,9.04610785345635e-57,"up"
"STK4",37,3,0.0123223638429904,0.902021699846489,1.60706536199282e-36,"up"
"TTC34",38,2,0.0124632953419427,0.902021699846489,3.12933685504885e-13,"up"
"ALDH1B1",38,2,0.0140342001710583,0.902021699846489,5.58066443479248e-23,"up"
"ATP11B",34,6,0.0142155908559456,0.902021699846489,0.000913656166046954,"down"
"USP9X",35,5,0.0145103220032119,0.902021699846489,1.32499612647399e-06,"up"
"ITGB6",37,3,0.0145572288823967,0.902021699846489,0.808408712224595,"up"
"GLUD2",34,6,0.0146617706569283,0.902021699846489,2.18478896168766e-08,"down"
"RGL1",34,6,0.0155320106342709,0.902021699846489,4.57474149829293e-15,"down"
"SH2D6",38,2,0.0156913928523157,0.902021699846489,1.36242832825399e-07,"down"
"ANKS6",34,6,0.0157010142294766,0.902021699846489,2.65492249141408e-61,"up"
"CTBP1",36,4,0.015903783376876,0.902021699846489,1.10770460851905e-17,"up"
"BBOX1",39,1,0.0159264420381758,0.902021699846489,0.000905114514157402,"up"
"SRM",38,2,0.0160505352431259,0.902021699846489,1.08911440291249e-77,"up"
"TAF4B",37,3,0.0160982564854491,0.902021699846489,2.4329341337972e-32,"up"
"CAMKV",36,4,0.0162345455043755,0.902021699846489,6.53838712832881e-16,"up"
"ATP5B",38,2,0.0165503011012789,0.902021699846489,9.81482910462444e-16,"down"
"IDO2",37,3,0.018009652093052,0.902021699846489,0.557609177714277,"down"
"CCNB3",34,6,0.0182857717929917,0.902021699846489,5.00014587130692e-06,"up"
"ZNF689",38,2,0.018468551605338,0.902021699846489,8.14593072408972e-05,"up"
"STAT5A",37,3,0.0185508773728719,0.902021699846489,0.597221451563076,"up"
"ANKRD20A2",39,1,0.0187575058102906,0.902021699846489,0.00173072329967793,"down"
"KIAA1549",23,17,0.0189377401450155,0.902021699846489,1.4683592556577e-165,"up"
"PSPC1",36,4,0.0190817885047815,0.902021699846489,4.85694666195707e-50,"up"
"SCAP",35,5,0.0194642977893364,0.902021699846489,0.0763662691766092,"up"
"KIRREL3",39,1,0.0195476925417344,0.902021699846489,5.59750350856744e-09,"down"
"KCTD13",38,2,0.0196720411738479,0.902021699846489,1.25270365868074e-40,"up"
"FCN3",38,2,0.0198114560612257,0.902021699846489,1.1906441690558e-07,"up"
"NOL11",37,3,0.0198696153165982,0.902021699846489,3.73994235165499e-36,"up"
"CASC5",32,8,0.0199970500459324,0.902021699846489,NA,NA
"SCAF8",35,5,0.020499786650517,0.902021699846489,0.0121145831515138,"up"
"POLG",36,4,0.0209170683691739,0.902021699846489,3.77954663936260e-10,"up"
"DLX5",36,4,0.0210340168194743,0.902021699846489,1.22986878071182e-05,"up"
"TCF23",37,3,0.0212862598130002,0.902021699846489,0.936325444962448,"up"
"PILRB",38,2,0.0214713357890186,0.902021699846489,2.76389410217567e-27,"up"
"GTF2IRD2",39,1,0.0217958509665413,0.902021699846489,0.000336861938376643,"down"
"TYW5",39,1,0.0219706661699974,0.902021699846489,3.55472939136361e-18,"up"
"WIPI1",38,2,0.0222733145807982,0.902021699846489,9.41973028563564e-06,"down"
"ARHGAP35",34,6,0.0222750376353807,0.902021699846489,1.51560468024198e-11,"down"
"SEMA6A",36,4,0.022418302190299,0.902021699846489,2.85666267459395e-24,"down"
"BANK1",36,4,0.022649840470821,0.902021699846489,0.000236020829066213,"down"
"ARHGEF15",37,3,0.0227070840202292,0.902021699846489,0.442279631439193,"down"
"DHX30",36,4,0.0228135187221982,0.902021699846489,5.26393729464271e-40,"up"
"MEP1A",34,6,0.0231327895965378,0.902021699846489,1.41422967684461e-08,"down"
"ULK2",33,7,0.0232867347646633,0.902021699846489,0.00629872259040497,"down"
"VPRBP",36,4,0.0238127111354995,0.902021699846489,NA,NA
"ZBTB37",37,3,0.0239375207553603,0.902021699846489,0.081917436307453,"up"
"CCNK",35,5,0.0241356430067349,0.902021699846489,0.0493984247417417,"down"
"BRWD3",32,8,0.0242038630787692,0.902021699846489,4.0798490892905e-13,"up"
"RANBP2",29,11,0.0243894587937921,0.902021699846489,1.8455555532167e-11,"up"
"BIRC2",38,2,0.0247614669290117,0.902021699846489,1.52442992933153e-05,"down"
"TELO2",35,5,0.0249124785387963,0.902021699846489,4.8879499758817e-61,"up"
"FXR2",38,2,0.0249441926951786,0.902021699846489,0.000103134055017679,"down"
"RNF43",33,7,0.024951391706521,0.902021699846489,2.52501787578469e-134,"up"
"TFEC",38,2,0.0249787186415714,0.902021699846489,0.0177677334017142,"down"
"ABCB8",38,2,0.0253858510245418,0.902021699846489,2.74639888766194e-20,"up"
"GOT1",38,2,0.0254891675009574,0.902021699846489,5.94663687123671e-17,"down"
"RAET1G",38,2,0.0255009027917129,0.902021699846489,1.24088024495542e-24,"up"
"FBXW7",30,10,0.0258969027062534,0.902021699846489,0.00532633138920914,"up"
"NGB",39,1,0.0265990382768774,0.902021699846489,5.60613657044588e-07,"down"
"UBE3B",37,3,0.026650439144081,0.902021699846489,5.92482477046717e-10,"down"
"WDR75",38,2,0.0268134663835357,0.902021699846489,1.41458309221874e-91,"up"
"FUT11",39,1,0.0269520671603833,0.902021699846489,8.91198739877088e-18,"up"
"PCGF2",37,3,0.0269724510407354,0.902021699846489,2.98406862331076e-16,"up"
"ARL10",38,2,0.0270984464255421,0.902021699846489,0.432076365303108,"up"
"RASAL1",38,2,0.0273255688959066,0.902021699846489,6.70991985416915e-34,"up"
"TMEM117",37,3,0.0273264406471703,0.902021699846489,2.86211727289781e-10,"up"
"OTX1",36,4,0.0277777304917813,0.902021699846489,5.5349171207165e-117,"up"
"TNIP1",38,2,0.0281096545408784,0.902021699846489,8.91434964529243e-12,"down"
"CTAG2",36,4,0.028207718306672,0.902021699846489,0.00457418153445791,"up"
"PPIG",37,3,0.0286659862247364,0.902021699846489,3.04386423526475e-08,"up"
"OR2L2",37,3,0.0290539281777429,0.902021699846489,0.410996555506628,"up"
"CAPN6",39,1,0.0290742936197151,0.902021699846489,0.0700954586086556,"up"
"ANKRD29",38,2,0.0291211347023449,0.902021699846489,0.509019745887984,"up"
"CADM2",39,1,0.0291481339547933,0.902021699846489,4.70536390471789e-07,"down"
"SLX4",33,7,0.0293616461043137,0.902021699846489,5.50561317466687e-15,"up"
"PKP3",38,2,0.0295160665465713,0.902021699846489,4.13375284412134e-13,"up"
"CNST",37,3,0.0295890950168657,0.902021699846489,6.89250122572808e-25,"down"
"DHX35",33,7,0.0298084617352571,0.902021699846489,5.41615166189466e-44,"up"
"VMP1",38,2,0.0298445210968009,0.902021699846489,1.5876437251193e-13,"up"
"DBF4B",39,1,0.0299536763761415,0.902021699846489,3.37242752379887e-59,"up"
"RASGEF1A",36,4,0.0300249446908562,0.902021699846489,3.91723798265101e-18,"up"
"ARHGEF7",36,4,0.0300504288246631,0.902021699846489,1.08297294469633e-19,"up"
"WDR82",39,1,0.0301164895937879,0.902021699846489,0.00332872754610197,"up"
"AATK",32,8,0.0301799077203782,0.902021699846489,0.0597032063070885,"up"
"BRCA2",29,11,0.0306262301990688,0.902021699846489,9.94306928686316e-60,"up"
"KIF2A",38,2,0.0310414509252054,0.902021699846489,1.12985289109454e-14,"up"
"PTPN11",39,1,0.031113199543852,0.902021699846489,1.57366942925817e-14,"up"
"FAM46C",39,1,0.0312153320427961,0.902021699846489,4.62057534767964e-17,"down"
"RAD51D",38,2,0.0312169112462687,0.902021699846489,9.74784571213426e-53,"up"
"HSD17B7",38,2,0.031286044427762,0.902021699846489,4.3386584143049e-26,"up"
"HHAT",38,2,0.0312888323376675,0.902021699846489,3.88789782668511e-16,"down"
"MAP3K11",39,1,0.031352499162504,0.902021699846489,2.8794128208959e-05,"down"
"PLXNC1",31,9,0.0315130898175022,0.902021699846489,0.000679914505509557,"down"
"AKAP1",30,10,0.0315931997406574,0.902021699846489,1.51451406648148e-09,"up"
"TIMD4",33,7,0.031638780702284,0.902021699846489,0.0101083220739603,"down"
"MDH1B",39,1,0.031788718957608,0.902021699846489,0.940919071272303,"down"
"SMARCA4",27,13,0.0318998647525645,0.902021699846489,1.72633675197197e-29,"up"
"PIK3R5",33,7,0.0320102794919823,0.902021699846489,6.5242113978522e-10,"down"
"ATM",28,12,0.0320550964710801,0.902021699846489,0.0145552842309461,"up"
"RAB36",37,3,0.0321786309523501,0.902021699846489,2.17556929421576e-61,"up"
"PDE1C",35,5,0.0325557630175511,0.902021699846489,1.8352434633737e-14,"down"
"SMARCA1",34,6,0.0326987662554381,0.902021699846489,0.00174619159921053,"down"
"CD83",39,1,0.0329756332744058,0.902021699846489,0.81979494395563,"up"
"GPR153",38,2,0.0331423783392643,0.902021699846489,1.76202511969381e-05,"up"
"DUSP26",38,2,0.0331779586774989,0.902021699846489,1.91704113411183e-19,"down"
"TAS1R3",34,6,0.0331798101687717,0.902021699846489,1.95577896176514e-05,"up"
"PIP5KL1",39,1,0.0332221162703256,0.902021699846489,2.91417866462334e-19,"up"
"LRIG3",36,4,0.0337611706813593,0.902021699846489,0.00785762777402635,"down"
"GRIN3B",35,5,0.0339447355148431,0.902021699846489,6.99792063139087e-25,"up"
"PIK3CA",22,18,0.0339578681680135,0.902021699846489,0.379207998894162,"down"
"HIST1H2BD",39,1,0.0339585778412915,0.902021699846489,0.000527303892241427,"down"
"CLEC2D",39,1,0.03408191766561,0.902021699846489,0.00365953222201754,"down"
"TRIP13",37,3,0.0341432859293477,0.902021699846489,2.53396301752661e-111,"up"
"STK16",38,2,0.0342895579252785,0.902021699846489,0.862627696392698,"down"
"MRGPRX4",39,1,0.0342896588803977,0.902021699846489,0.0709814822854405,"up"
"CATSPERG",36,4,0.0343156345188541,0.902021699846489,1.01085573595331e-07,"down"
"BAX",37,3,0.0343156573154647,0.902021699846489,1.36722872596676e-24,"up"
"BRS3",39,1,0.0346306840594197,0.902021699846489,0.174165588519345,"up"
"PLA2G4B",36,4,0.0347305990296237,0.902021699846489,8.79904752122264e-24,"up"
"COL4A3",34,6,0.0347661301810671,0.902021699846489,0.242980618033211,"down"
"GLDC",32,8,0.0348532430460458,0.902021699846489,0.0700471633288862,"up"
"HMOX1",39,1,0.0349414611202626,0.902021699846489,2.42832855900962e-12,"down"
"UPF3A",36,4,0.0349719348195505,0.902021699846489,2.99616195931515e-42,"up"
"TBC1D24",36,4,0.0352033514172147,0.902021699846489,6.1466448868012e-46,"up"
"F2R",36,4,0.0352689141633839,0.902021699846489,9.04090215235572e-53,"up"
"SNRK",37,3,0.0352898788996484,0.902021699846489,5.25976195685727e-13,"down"
"MLLT3",38,2,0.0353629522369727,0.902021699846489,0.000616980621415853,"up"
"PRRX1",35,5,0.0357693866644393,0.902021699846489,1.40565689930645e-22,"up"
"CDKL1",38,2,0.0359979867390103,0.902021699846489,2.64561238634756e-23,"down"
"CLCA2",35,5,0.0361947103313243,0.902021699846489,0.301571082829573,"down"
"CD22",39,1,0.0363803982414139,0.902021699846489,0.000211849542511447,"down"
"DENND5B",36,4,0.0364372212081379,0.902021699846489,1.13214180720896e-09,"down"
"KDM2B",33,7,0.0365210429834103,0.902021699846489,7.72764126177237e-30,"up"
"MTF1",34,6,0.0371665303472141,0.902021699846489,7.69883758626464e-10,"down"
"SEMA4F",32,8,0.0378662989442159,0.902021699846489,2.31192624787727e-36,"up"
"NFAT5",35,5,0.0379735891655358,0.902021699846489,4.54399869593558e-13,"up"
"SH2D3A",37,3,0.0383855048131233,0.902021699846489,2.85950111484789e-09,"up"
"CDK5",38,2,0.038490872577918,0.902021699846489,7.23351461797489e-63,"up"
"RASGRP2",35,5,0.0387166566022039,0.902021699846489,9.54728007291406e-10,"down"
"GPR12",38,2,0.0388462072241996,0.902021699846489,4.19943579425589e-06,"down"
"LPAR5",37,3,0.0392370536839473,0.902021699846489,8.66414502854607e-06,"down"
"FIGLA",39,1,0.0398303011042219,0.902021699846489,0.57318184986047,"down"
"TRPM1",34,6,0.0401925579376169,0.902021699846489,3.3951231044094e-05,"up"
"TRDMT1",37,3,0.0402069832035309,0.902021699846489,0.0042360477038002,"up"
"AMT",37,3,0.0403899734747491,0.902021699846489,1.33575792783919e-15,"down"
"PPEF1",38,2,0.040491684025897,0.902021699846489,2.67848949060368e-58,"up"
"BTN3A3",37,3,0.0404952706346046,0.902021699846489,0.108284546508104,"down"
"KCNV2",34,6,0.0407437342349306,0.902021699846489,9.15819999114826e-11,"up"
"RALGAPB",37,3,0.0407732137889221,0.902021699846489,6.96029017491659e-27,"up"
"KIF12",32,8,0.0409069415560059,0.902021699846489,8.94265176478518e-40,"up"
"ENO3",38,2,0.0411546313336395,0.902021699846489,1.03043264900578e-20,"up"
"PPP1CC",36,4,0.0411792072130209,0.902021699846489,0.0102441662107871,"down"
"ARID5B",35,5,0.0413317471242036,0.902021699846489,1.06605340911819e-07,"up"
"MPZL1",38,2,0.0416050182936516,0.902021699846489,3.15066667040656e-19,"up"
"FOXE1",37,3,0.0416050889172594,0.902021699846489,0.0548010494775029,"up"
"SMYD2",36,4,0.0417225835313812,0.902021699846489,2.97289967825279e-44,"up"
"DUSP12",37,3,0.0420602521223841,0.902021699846489,2.395738191536e-25,"up"
"RHOB",38,2,0.0422939764026225,0.902021699846489,0.0284868602591132,"down"
"NTNG1",32,8,0.0423957937798512,0.902021699846489,0.00190340359053256,"down"
"CLEC1A",38,2,0.0424726716513789,0.902021699846489,3.9881349654387e-07,"down"
"BTN1A1",39,1,0.0426858956880465,0.902021699846489,1.3031043675883e-05,"up"
"SDC1",39,1,0.0431318824248277,0.902021699846489,7.46937656933819e-06,"up"
"GNA13",38,2,0.0436299196775624,0.902021699846489,1.35063788509649e-20,"down"
"ACCSL",39,1,0.0438096634897087,0.902021699846489,0.80979900828048,"up"
"RPH3A",34,6,0.0438265668633796,0.902021699846489,1.88120632316808e-09,"down"
"SUDS3",39,1,0.0439191090820831,0.902021699846489,1.25099597649894e-05,"up"
"HRH4",37,3,0.0440533166355754,0.902021699846489,0.575291887970031,"down"
"LMTK3",30,10,0.0440702562959009,0.902021699846489,3.86376600826661e-47,"up"
"SLC7A11",37,3,0.0441824148253478,0.902021699846489,3.42570116278317e-54,"up"
"XPO4",35,5,0.0446712500437191,0.902021699846489,9.33544316273771e-60,"up"
"GPR160",36,4,0.0446713063090032,0.902021699846489,0.427428735249298,"up"
"GABRG1",34,6,0.0447731090702481,0.902021699846489,2.25691619784935e-08,"down"
"LEF1",39,1,0.0448227864731251,0.902021699846489,3.27143626106421e-58,"up"
"UBE2D3",39,1,0.0448305194729426,0.902021699846489,8.44748502235958e-11,"down"
"RNF4",38,2,0.0448617264057935,0.902021699846489,2.05346510772583e-11,"up"
"RAB11A",38,2,0.044881338401733,0.902021699846489,1.33226298184305e-06,"down"
"SLC7A8",37,3,0.0450973779982663,0.902021699846489,1.99899522685502e-19,"up"
"ATIC",37,3,0.0451671707508473,0.902021699846489,7.62752497371153e-91,"up"
"CTSB",37,3,0.0454303271009279,0.902021699846489,1.22031066927895e-15,"up"
"AXL",33,7,0.0455956853641168,0.902021699846489,2.27104091186312e-07,"down"
"GBX2",38,2,0.0456518326852081,0.902021699846489,3.93291129261372e-24,"up"
"RBM15B",33,7,0.0458060716416047,0.902021699846489,6.53267685848208e-10,"up"
"STRADB",39,1,0.045865716957479,0.902021699846489,7.30644339623834e-13,"down"
"SKIV2L2",36,4,0.046129141725864,0.902021699846489,9.46301821162879e-16,"up"
"HNRNPA2B1",38,2,0.0461602047367261,0.902021699846489,1.56719237347898e-26,"up"
"BTNL8",39,1,0.0461619794180504,0.902021699846489,4.93195111183005e-12,"down"
"SMAP1",37,3,0.0462178027000982,0.902021699846489,3.41700645143118e-22,"down"
"GABRA6",39,1,0.0463640182411475,0.902021699846489,0.0632915976404858,"up"
"LRP1",25,15,0.0464582482883552,0.902021699846489,0.00255517338007777,"down"
"KDR",30,10,0.0465040408590416,0.902021699846489,0.0174558626547991,"up"
"LY9",37,3,0.0465613076739806,0.902021699846489,1.01456978884807e-12,"down"
"LDLRAD3",36,4,0.0466251357862341,0.902021699846489,1.17781777056298e-105,"up"
"MRGPRE",38,2,0.0468311285912571,0.902021699846489,1.13119306087195e-05,"down"
"CHRNB3",33,7,0.0472745940421243,0.902021699846489,5.44781452579197e-08,"up"
"CDK7",38,2,0.0478561909255654,0.902021699846489,5.22543130634481e-57,"up"
"HERC5",36,4,0.0479360946453592,0.902021699846489,7.42898136966358e-05,"down"
"RGPD8",38,2,0.0481056294792525,0.902021699846489,0.0077530624115738,"down"
"ACTRT3",39,1,0.0482247753503249,0.902021699846489,1.87149842579456e-30,"up"
"PSIP1",38,2,0.048230502412439,0.902021699846489,0.939497872706805,"up"
"YME1L1",38,2,0.048324669233083,0.902021699846489,0.144442326251739,"up"
"NPAS4",35,5,0.0483295246683465,0.902021699846489,4.00342500110162e-06,"down"
"TRPC3",35,5,0.0485738702858796,0.902021699846489,0.179867891990246,"down"
"PAX6",36,4,0.0487586445996316,0.902021699846489,0.449857160688845,"up"
"SGMS2",38,2,0.0490852641167023,0.902021699846489,2.47361627073505e-07,"down"
"MTMR11",32,8,0.0491350389191908,0.902021699846489,0.00143253081648076,"down"
"BCAN",35,5,0.0491679117107476,0.902021699846489,6.75145118499642e-23,"up"
"DYRK3",36,4,0.0492666641177773,0.902021699846489,2.48601417495327e-14,"up"
"NEK2",37,3,0.0492997153663475,0.902021699846489,1.37026622476578e-57,"up"
"RHOH",37,3,0.0493897336575734,0.902021699846489,1.53452355562655e-06,"down"
"TMEM203",39,1,0.0494316183928951,0.902021699846489,0.000287011636714344,"up"
"FANCG",37,3,0.0496149005674924,0.902021699846489,6.51296399969864e-62,"up"
"CNOT6L",38,2,0.049798102172705,0.902021699846489,0.2951961425714,"down"
"GTF2H2C",37,3,0.0498304554022145,0.902021699846489,0.839579368932519,"down"
"PIKFYVE",32,8,0.0498602788817711,0.902021699846489,0.00431364335164404,"up"
"G3BP2",36,4,0.0500594512718064,0.902021699846489,5.90656328654296e-05,"down"
"CDC23",39,1,0.0501815267691418,0.902021699846489,2.28504318869631e-19,"up"
"IRF6",37,3,0.0504750755484629,0.902021699846489,1.65449781076314e-05,"down"
"CAMK2B",38,2,0.050612890448122,0.902021699846489,0.000177321899082683,"down"
"KIAA0195",35,5,0.0506415625956468,0.902021699846489,NA,NA
"STK32C",38,2,0.0507821972841276,0.902021699846489,2.68763856713432e-45,"up"
"ATG3",39,1,0.0511269322156721,0.902021699846489,1.27687275634704e-10,"up"
"NFKBID",38,2,0.0512258838038623,0.902021699846489,3.63037835162933e-10,"up"
"TGFB1",38,2,0.0513878658983716,0.902021699846489,2.856242517722e-08,"up"
"FCRL4",38,2,0.0514227050788546,0.902021699846489,1.03113853756356e-05,"down"
"PKP4",39,1,0.0517704478887336,0.902021699846489,5.25754383751503e-49,"up"
"TNFAIP6",38,2,0.0519307451385401,0.902021699846489,2.01834650503955e-16,"up"
"NR1I2",37,3,0.0520158485254636,0.902021699846489,0.763525062711922,"down"
"SHC1",37,3,0.0522472763007333,0.902021699846489,0.995109294219755,"down"
"RPAP3",39,1,0.0528756709309315,0.902021699846489,9.84937292877159e-27,"up"
"DDX20",39,1,0.0529435521838782,0.902021699846489,1.35089139009702e-34,"up"
"ZNF197",36,4,0.0529687242218282,0.902021699846489,3.55542454703827e-05,"up"
"RNF130",35,5,0.0530631560566449,0.902021699846489,0.253625723283991,"up"
"ABCA5",31,9,0.0532400670359833,0.902021699846489,4.00047001393722e-13,"down"
"MINK1",36,4,0.0533160164484095,0.902021699846489,2.47912492978832e-11,"down"
"CEBPZ",37,3,0.053508221803967,0.902021699846489,4.38249919404893e-21,"up"
"MPZ",38,2,0.053678952005858,0.902021699846489,2.47745955612226e-10,"down"
"HFM1",36,4,0.0536974790961267,0.902021699846489,0.00818535718233305,"down"
"SLITRK3",36,4,0.0539895519337293,0.902021699846489,7.58036827291854e-09,"down"
"CRTC1",36,4,0.0540696248052661,0.902021699846489,0.278558200949855,"up"
"PGC",37,3,0.0541117925425722,0.902021699846489,2.09752862337437e-06,"up"
"CCNA1",38,2,0.0543619806122693,0.902021699846489,0.000394933672158641,"down"
"ARHGAP10",33,7,0.0543922761383599,0.902021699846489,7.60338359238494e-05,"down"
"ATP2A1",38,2,0.0543979657868907,0.902021699846489,7.8434634151945e-30,"up"
"SORD",37,3,0.0544409408893058,0.902021699846489,3.9924896867139e-68,"up"
"GOT1L1",39,1,0.0544826414982307,0.902021699846489,0.0736642607464466,"up"
"ANKRD11",28,12,0.0545249280689357,0.902021699846489,3.17914615594515e-05,"up"
"SLC39A4",38,2,0.0545687565685125,0.902021699846489,2.53856961575728e-17,"up"
"SEZ6L",33,7,0.0546112765125245,0.902021699846489,6.58136883982237e-06,"down"
"COPS8",38,2,0.0546629874004856,0.902021699846489,2.19262860985612e-19,"up"
"ACVR1B",37,3,0.0546901910542055,0.902021699846489,0.00143402606500789,"down"
"WDR1",39,1,0.0548451525239434,0.902021699846489,3.81853399111142e-12,"down"
"HELLS",39,1,0.0550566676779016,0.902021699846489,6.49270295005384e-56,"up"
"NDNL2",39,1,0.0551006546311101,0.902021699846489,NA,NA
"SURF4",39,1,0.0552019010993606,0.902021699846489,2.5695828790917e-12,"up"
"ELOVL2",38,2,0.0552348408033388,0.902021699846489,0.158699941932744,"up"
"CDYL2",35,5,0.055378770036113,0.902021699846489,9.18916550766563e-09,"up"
"ZFHX3",27,13,0.0554185598238583,0.902021699846489,0.955075392433321,"up"
"GCSH",39,1,0.055526280125708,0.902021699846489,1.07526886782176e-28,"up"
"TWIST1",38,2,0.0558160758782417,0.902021699846489,1.95363106025086e-39,"up"
"KCNJ8",38,2,0.056086449994442,0.902021699846489,0.211538529819856,"down"
"NCKAP1",34,6,0.0561538083904475,0.902021699846489,0.000660992514957992,"up"
"ALG3",35,5,0.0565102706226062,0.902021699846489,4.77230005778277e-81,"up"
"IQUB",38,2,0.0565241462449624,0.902021699846489,2.59898832847434e-11,"up"
"PCDH7",35,5,0.0566197820658427,0.902021699846489,3.85943258003883e-06,"down"
"DLL3",36,4,0.0569602037613517,0.902021699846489,6.05773255725771e-17,"up"
"ANKH",39,1,0.0570109474246745,0.902021699846489,5.29264156866869e-08,"up"
"SERPINF1",37,3,0.057736275383185,0.902021699846489,0.00563698734027107,"down"
"HS3ST2",39,1,0.0578259825718474,0.902021699846489,0.920734038841301,"up"
"KIF6",38,2,0.0578370756958853,0.902021699846489,0.0846659586186303,"down"
"MSI2",37,3,0.0579920207630328,0.902021699846489,3.01257091987637e-63,"up"
"PHF23",35,5,0.0581000387181917,0.902021699846489,0.000507697743194229,"down"
"PLK2",34,6,0.0582698060541267,0.902021699846489,8.63890137065737e-13,"up"
"ASB13",39,1,0.0583486723724421,0.902021699846489,0.000719106122040794,"down"
"NUDT19",38,2,0.0584089481891914,0.902021699846489,9.70334835042307e-47,"up"
"COL4A5",34,6,0.0584171239630932,0.902021699846489,1.33182520350648e-12,"down"
"PPP3CA",39,1,0.0584844672383806,0.902021699846489,0.421392902855912,"up"
"PTPN21",34,6,0.0586735061840658,0.902021699846489,9.32415975214797e-24,"down"
"ATP13A3",36,4,0.0587509829774278,0.902021699846489,5.22301706134723e-21,"up"
"ATP12A",34,6,0.0588288025232281,0.902021699846489,0.0218925949487413,"up"
