"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"UBL5","UBL5",-1,-1,10,"2.67903726846414e-10",1.65912778035984e-06,0.999999854690277,1.45309723129864e-07
"MED8","MED8",-1,-1,10,"1.21674508125976e-06",0.00753408554316043,1,2.59107828610425e-27
"SMARCB1","SMARCB1",-1,-1,9,"6.32776084107767e-06",0.0391751673671119,1,6.05245825179879e-99
"WHSC1","WHSC1",-1,-1,9,"6.57040930563885e-05",0.406708336019045,NA,NA
"LMLN","LMLN",-1,-1,5,"0.00012454188386946",0.770789719268088,1,2.87498111880321e-25
"AHCTF1","AHCTF1",-1,-1,10,"0.000132864590369701",0.82216608520771,1,2.70891854974341e-39
"EEF2","EEF2",-1,-1,10,"0.000185442943921663",1,0.99965841199584,0.000341588004159594
"SERPINA3","SERPINA3",-1,-1,9,"0.000195861556918125",1,0.469553896583255,0.530446103416745
"ATP2B1","ATP2B1",-1,-1,9,"0.0002083920823539",1,0.999999999999998,1.73229048360062e-15
"CDC42SE2","CDC42SE2",-1,-1,10,"0.000271648130558031",1,1.70217819531757e-09,0.999999998297822
"PABPC3","PABPC3",-1,-1,9,"0.000279108404047351",1,1,1.32330273530123e-35
"DPP10","DPP10",-1,-1,9,"0.000407493114496847",1,0.999927467577507,7.25324224932988e-05
"PAPSS1","PAPSS1",-1,-1,10,"0.000431508537747882",1,2.75730574394981e-08,0.999999972426943
"IRF9","IRF9",-1,-1,10,"0.000517568694334375",1,0.999999809342781,1.90657219313258e-07
"WDR16","WDR16",-1,-1,10,"0.000525142344316449",1,NA,NA
"CLTCL1","CLTCL1",-1,-1,9,"0.000596702434414606",1,1,9.83628655718527e-29
"NR2E3","NR2E3",-1,-1,10,"0.000671479273442965",1,1.92248320105511e-08,0.999999980775168
"SEC62","SEC62",-1,-1,8,"0.000873890887838485",1,0.830416498436511,0.169583501563489
"PI4KAP2","PI4KAP2",-1,-1,10,"0.000966812551368017",1,0.999999999363353,6.36646979292961e-10
"PI4KAP1","PI4KAP1",-1,-1,10,"0.000966812551368017",1,0.999999999200404,7.99595699035197e-10
"STXBP5","STXBP5",-1,-1,10,"0.00098216511608431",1,0.978478345049753,0.0215216549502469
"PRPF6","PRPF6",-1,-1,10,"0.00104778288461586",1,0.999998681786268,1.31821373217839e-06
"CCNB2","CCNB2",-1,-1,10,"0.00118303574366464",1,1,6.45624053513791e-177
"TLE2","TLE2",-1,-1,10,"0.00121006862746484",1,2.07004999685895e-18,1
"MPZL1","MPZL1",-1,-1,9,"0.00145988697986519",1,1,1.08460400891204e-28
"PI4KA","PI4KA",-1,-1,10,"0.00150036493227592",1,0.740613340082304,0.259386659917696
"MED6","MED6",-1,-1,10,"0.00165097417041119",1,1,5.72771310434936e-38
"SMARCA4","SMARCA4",-1,-1,7,"0.00167544872839874",1,1,5.65058815026203e-34
"ACTB","ACTB",-1,-1,10,"0.00178337703768803",1,0.000220241214366819,0.999779758785633
"CRCT1","CRCT1",-1,-1,7,"0.00222967839163125",1,0.999999999999974,2.60466316609496e-14
"PVRL4","PVRL4",-1,-1,9,"0.00229449628279432",1,NA,NA
"XAF1","XAF1",-1,-1,10,"0.00237826741118712",1,0.012289607811975,0.987710392188025
"NUP43","NUP43",-1,-1,10,"0.0026196717254413",1,1,2.04608015942712e-46
"RHEBL1","RHEBL1",-1,-1,10,"0.00269059257301108",1,1,6.2408844638679e-26
"FARP2","FARP2",-1,-1,10,"0.00281910116957753",1,1,4.16847772532396e-17
"TPT1","TPT1",-1,-1,10,"0.00298163326086486",1,3.16335651787401e-07,0.999999683664348
"HMGB1","HMGB1",-1,-1,10,"0.00306350216380517",1,0.999998831136837,1.16886316297614e-06
"LOC81691","LOC81691",-1,-1,10,"0.00310100667167419",1,NA,NA
"ACTG1","ACTG1",-1,-1,10,"0.00321633734468664",1,1,1.8008813685796e-26
"NCBP2","NCBP2",-1,-1,5,"0.00326592693434249",1,1,7.24390858912312e-111
"CDK7","CDK7",-1,-1,10,"0.00359693790577553",1,1,1.65768717191024e-24
"SMNDC1","SMNDC1",-1,-1,10,"0.00361412930578781",1,1,1.14655756374479e-33
"MCF2L2","MCF2L2",-1,-1,9,"0.00367029991529154",1,0.99999989571977,1.04280230429133e-07
"FEM1B","FEM1B",-1,-1,9,"0.00367104692517125",1,1,7.70987725898022e-23
"CACNB3","CACNB3",-1,-1,10,"0.00398233426698588",1,0.999999999898178,1.0182229830471e-10
"GPR162","GPR162",-1,-1,9,"0.0039882102661291",1,4.98465080213004e-08,0.999999950153492
"MC5R","MC5R",-1,-1,9,"0.00403625844189706",1,0.999999995829421,4.17057938590801e-09
"AKAP13","AKAP13",-1,-1,8,"0.00407314944292073",1,1.54970447043717e-18,1
"WWP2","WWP2",-1,-1,10,"0.0041003522530836",1,1.68877783486571e-25,1
"RGL1","RGL1",-1,-1,10,"0.00415316364252737",1,9.82449982604699e-21,1
"TP53BP1","TP53BP1",-1,-1,10,"0.00428302018827909",1,0.999999197996994,8.0200300615202e-07
"PPP1CB","PPP1CB",-1,-1,9,"0.004395815285745",1,1,1.10408384413308e-19
"CAPZA2","CAPZA2",-1,-1,8,"0.00443009714208309",1,5.28616887695944e-06,0.999994713831123
"DDX49","DDX49",-1,-1,10,"0.00452960206122144",1,1,3.29004331841786e-87
"WDR26","WDR26",-1,-1,10,"0.00456121097232388",1,0.999999855254602,1.44745397686504e-07
"SRSF10","SRSF10",-1,-1,10,"0.0045642917511618",1,0.99999999999968,3.20148389196177e-13
"ARHGAP24","ARHGAP24",-1,-1,10,"0.00477854880549287",1,1.18056935868111e-17,1
"WNT10B","WNT10B",-1,-1,10,"0.0049385238401656",1,1,4.56956329193059e-20
"DMAP1","DMAP1",-1,-1,10,"0.00497367118753286",1,0.999991874132103,8.12586789697521e-06
"MAX","MAX",-1,-1,10,"0.00505568438771541",1,0.99999987145532,1.28544679754499e-07
"BMPER","BMPER",-1,-1,8,"0.00506996162869685",1,1.08750188336982e-15,0.999999999999999
"NFKBIA","NFKBIA",-1,-1,7,"0.00510442339480759",1,5.24243750369293e-10,0.999999999475756
"CCBL1","CCBL1",-1,-1,10,"0.00553537773881957",1,NA,NA
"NDUFS7","NDUFS7",-1,-1,9,"0.00560604749369386",1,0.99999993244133,6.75586696576988e-08
"STAG3L1","STAG3L1",-1,-1,10,"0.00577904403309596",1,0.999962516513444,3.74834865556185e-05
"STAG3L3","STAG3L3",-1,-1,10,"0.00577904403309596",1,0.999999999888387,1.11612865947863e-10
"STAG3L2","STAG3L2",-1,-1,10,"0.00577904403309596",1,1,1.98347494941659e-28
"CDC27","CDC27",-1,-1,10,"0.00594841325916079",1,1,3.62760220234583e-22
"RCC1","RCC1",-1,-1,10,"0.00603657765891545",1,1,7.89829893256993e-127
"WISP2","WISP2",-1,-1,9,"0.0060801664980115",1,5.81426752169210e-13,0.999999999999419
"CACNG1","CACNG1",-1,-1,9,"0.00616107112469955",1,1.55271249518918e-05,0.999984472875048
"ARF3","ARF3",-1,-1,10,"0.00624007264314737",1,0.999924824882013,7.51751179868828e-05
"BET1","BET1",-1,-1,7,"0.00633710171868716",1,0.999999999999985,1.45838702010134e-14
"GAK","GAK",-1,-1,9,"0.00656035039366609",1,0.183387749333659,0.816612250666341
"H2AFY","H2AFY",-1,-1,10,"0.00662071718680048",1,1,2.99890709524089e-19
"CACNA1C","CACNA1C",-1,-1,9,"0.00682422556978526",1,2.45937580435536e-14,0.999999999999975
"BCLAF1","BCLAF1",-1,-1,8,"0.00683373836609962",1,0.863148458585976,0.136851541414024
"FOXM1","FOXM1",-1,-1,9,"0.00685236645525623",1,1,2.34758520934102e-128
"EIF3I","EIF3I",-1,-1,10,"0.00692291401351055",1,1,4.05598696620652e-37
"RBM39","RBM39",-1,-1,9,"0.00707699421819344",1,0.999999999987909,1.20915065338509e-11
"CES3","CES3",-1,-1,10,"0.00712426670158731",1,0.999999999450252,5.49747886558406e-10
"UBE2L3","UBE2L3",-1,-1,10,"0.00751730890871351",1,1,8.48218856326151e-39
"KAT8","KAT8",-1,-1,10,"0.00753044869413945",1,1.7412608866634e-05,0.999982587391133
"CTNND1","CTNND1",-1,-1,10,"0.00769237466332161",1,0.999999999919223,8.07771866024242e-11
"TMX2-CTNND1","TMX2-CTNND1",-1,-1,10,"0.00769237466332161",1,0.0027759516310987,0.997224048368901
"DTL","DTL",-1,-1,10,"0.00786200602930603",1,1,3.40514239262549e-82
"CCAR1","CCAR1",-1,-1,9,"0.00786492030284608",1,1,3.89065200381275e-31
"HHAT","HHAT",-1,-1,9,"0.00789274561726919",1,1,1.88434497944627e-22
"MAP3K12","MAP3K12",-1,-1,10,"0.00789994465601296",1,1.879649660342e-05,0.999981203503397
"PSMC4","PSMC4",-1,-1,10,"0.0079116737371001",1,1,2.07939610011643e-48
"SLC35B2","SLC35B2",-1,-1,10,"0.00831847747961933",1,1,3.05387300823703e-57
"SELL","SELL",-1,-1,9,"0.00836170135908084",1,0.00477298719532356,0.995227012804677
"ABCF3","ABCF3",-1,-1,8,"0.00850633844115478",1,1,1.8096390282643e-78
"GBP2","GBP2",-1,-1,10,"0.00885653853818213",1,4.40218246073793e-06,0.999995597817539
"OXA1L","OXA1L",-1,-1,10,"0.00901001051261809",1,0.999999991571518,8.42848188499413e-09
"VAV3","VAV3",-1,-1,10,"0.0091070621564341",1,1,1.65772297133725e-23
"WDR82","WDR82",-1,-1,9,"0.00913532535545259",1,0.00140554612893609,0.998594453871064
"LIF","LIF",-1,-1,10,"0.00915359751491485",1,0.0110014018659102,0.98899859813409
"CDKN1A","CDKN1A",-1,-1,10,"0.00949913324821395",1,0.000256104426968057,0.999743895573032
"LIN7A","LIN7A",-1,-1,10,"0.0095604115852529",1,3.6579305305069e-18,1
"FANCC","FANCC",-1,-1,10,"0.00966937166607686",1,1,5.43134569221474e-20
"KIF18A","KIF18A",-1,-1,8,"0.00967878801387558",1,1,3.67101043203432e-122
"RAE1","RAE1",-1,-1,10,"0.0100216681314661",1,1,5.37668978065401e-120
"MED24","MED24",-1,-1,9,"0.0103203575725791",1,0.158950277838925,0.841049722161075
"TCF15","TCF15",-1,-1,9,"0.0104723343421114",1,1,3.07012476949563e-20
"SUFU","SUFU",-1,-1,9,"0.0106104521752788",1,0.711686043273336,0.288313956726664
"ITGB1","ITGB1",-1,-1,8,"0.0108942629089005",1,0.00186764666507827,0.998132353334922
"SERPINH1","SERPINH1",-1,-1,10,"0.0110228098237258",1,1,6.73256744204674e-24
"HCN2","HCN2",-1,-1,10,"0.0110560461168557",1,1,3.56139412564149e-24
"ERBB2","ERBB2",-1,-1,9,"0.0112674616749056",1,0.912210885343441,0.0877891146565593
"SEMA6A","SEMA6A",-1,-1,9,"0.0114579331971876",1,1.58482827387322e-06,0.999998415171726
"APH1A","APH1A",-1,-1,7,"0.0116040497692109",1,1,1.99338858915857e-49
"KIAA1804","KIAA1804",-1,-1,10,"0.0121236942159217",1,NA,NA
"CLDN11","CLDN11",-1,-1,8,"0.0121863838196887",1,0.701945720494947,0.298054279505053
"DCAF7","DCAF7",-1,-1,10,"0.012227850660347",1,0.999960780077051,3.9219922948911e-05
"CHRNA5","CHRNA5",-1,-1,10,"0.0122688108973778",1,1,1.40792210026043e-102
"SPRR1B","SPRR1B",-1,-1,9,"0.0123226322807775",1,1,1.23300098088347e-37
"CR2","CR2",-1,-1,10,"0.0123420416862571",1,0.282240961806347,0.717759038193653
"RSPO3","RSPO3",-1,-1,10,"0.0123826477558974",1,0.000203105411209195,0.999796894588791
"FOLR1","FOLR1",-1,-1,10,"0.0124687092443289",1,5.98632701968638e-27,1
"RBMXL1","RBMXL1",-1,-1,10,"0.0125846436311222",1,0.994312612548403,0.00568738745159664
"NTRK3","NTRK3",-1,-1,9,"0.0127979133849217",1,1.33647287629896e-10,0.999999999866353
"LTC4S","LTC4S",-1,-1,9,"0.012967070320032",1,2.10393922801097e-09,0.999999997896061
"AMBRA1","AMBRA1",-1,-1,9,"0.0130632299552653",1,0.0548186423744805,0.945181357625519
"KCNS3","KCNS3",-1,-1,9,"0.0131498512233441",1,0.0099676057815299,0.99003239421847
"NEK9","NEK9",-1,-1,10,"0.0131510075985486",1,1.02752332368463e-06,0.999998972476676
"MED26","MED26",-1,-1,10,"0.0131685725991345",1,0.500549074012582,0.499450925987418
"RBBP4","RBBP4",-1,-1,10,"0.0135337756584454",1,1,9.49032148931092e-23
"FBXO5","FBXO5",-1,-1,10,"0.0135590289496435",1,1,2.4028576814984e-80
"RACGAP1","RACGAP1",-1,-1,10,"0.0137617687170977",1,1,1.68113392790735e-167
"CACNA1E","CACNA1E",-1,-1,9,"0.0143825991459043",1,0.999999523480825,4.76519174725081e-07
"CBLN1","CBLN1",-1,-1,10,"0.0145425643799192",1,0.99961163311806,0.000388366881940439
"HBD","HBD",-1,-1,7,"0.0146487660058517",1,2.13589849597764e-05,0.99997864101504
"GRB10","GRB10",-1,-1,10,"0.0147805048010705",1,0.999814514269154,0.000185485730845535
"LEFTY2","LEFTY2",-1,-1,10,"0.0148501996354574",1,1.07739915204278e-10,0.99999999989226
"KLHL28","KLHL28",-1,-1,10,"0.0149945501560671",1,0.796706208758905,0.203293791241095
"TET1","TET1",-1,-1,9,"0.0150281089391352",1,1,2.93622898167994e-45
"HNRNPCL1","HNRNPCL1",-1,-1,7,"0.0152083550766627",1,0.999999999999932,6.74476314598112e-14
"MCPH1","MCPH1",-1,-1,9,"0.0153167706863492",1,0.455025873999453,0.544974126000547
"ELL","ELL",-1,-1,10,"0.0155323566101366",1,0.449722628868164,0.550277371131836
"GNRHR","GNRHR",-1,-1,10,"0.015765345650958",1,0.991600279691949,0.00839972030805149
"NAA15","NAA15",-1,-1,10,"0.0157954047794602",1,1,3.27079220353171e-24
"GPR31","GPR31",-1,-1,10,"0.0159610565884473",1,0.200858583165909,0.799141416834091
"ADH4","ADH4",-1,-1,10,"0.0159611171951971",1,0.767316848093567,0.232683151906433
"AIFM3","AIFM3",-1,-1,10,"0.0161141426247867",1,1,7.08876489077479e-23
"ITGA10","ITGA10",-1,-1,7,"0.0162510480349475",1,3.08460117183547e-16,1
"MAST2","MAST2",-1,-1,10,"0.0162884977361872",1,1,7.09055108713747e-33
"ARID2","ARID2",-1,-1,10,"0.0172155134665328",1,1,5.46341352856449e-17
"EDC4","EDC4",-1,-1,9,"0.0174666457198472",1,0.999990324338876,9.67566112385489e-06
"NDNL2","NDNL2",-1,-1,8,"0.0174895963019725",1,NA,NA
"FGD3","FGD3",-1,-1,10,"0.0176034578198351",1,3.18468289701082e-16,1
"KIF23","KIF23",-1,-1,10,"0.0176645359341206",1,1,3.46477811435534e-185
"PRDM10","PRDM10",-1,-1,9,"0.0177883094691892",1,0.999999999568014,4.31986058190067e-10
"MTR","MTR",-1,-1,10,"0.0179393372163955",1,0.000313361065296506,0.999686638934703
"MST1R","MST1R",-1,-1,9,"0.0179957650476363",1,0.470716035322521,0.529283964677479
"F2RL1","F2RL1",-1,-1,10,"0.0180644350364418",1,1,9.19369902002238e-63
"PRPF4B","PRPF4B",-1,-1,8,"0.0181577579908889",1,0.999900739723842,9.9260276158454e-05
"FOS","FOS",-1,-1,10,"0.0183965065908235",1,1.31398917614383e-09,0.999999998686011
"FEN1","FEN1",-1,-1,10,"0.0184080796333354",1,1,1.67061531217418e-147
"HGF","HGF",-1,-1,8,"0.0184232635091163",1,4.25726091323858e-18,1
"ADSL","ADSL",-1,-1,10,"0.0185234867152834",1,1,3.28378664864805e-59
"ARHGEF3","ARHGEF3",-1,-1,9,"0.0185461558331921",1,3.00397542006633e-25,1
"PRKRA","PRKRA",-1,-1,10,"0.0185653756071466",1,1,2.71734211464612e-22
"DDX19B","DDX19B",-1,-1,8,"0.0188384066471203",1,6.44969025481818e-12,0.99999999999355
"PILRB","PILRB",-1,-1,8,"0.0190349845979479",1,1,6.9446943196437e-25
"BUB1","BUB1",-1,-1,9,"0.0190441433122502",1,1,3.10090395886808e-150
"ARFGAP2","ARFGAP2",-1,-1,10,"0.0191201389058059",1,0.940459551865723,0.0595404481342773
"FUBP1","FUBP1",-1,-1,10,"0.0192140454490773",1,1,1.18719089188639e-22
"ATP2A2","ATP2A2",-1,-1,9,"0.0192962536041872",1,1,1.49216307432749e-56
"NPR1","NPR1",-1,-1,9,"0.019301979627435",1,1.02987406960701e-20,1
"DLX1","DLX1",-1,-1,10,"0.0198675742784784",1,1,1.2423396361355e-17
"VLDLR","VLDLR",-1,-1,7,"0.01999225869726",1,0.855661484117066,0.144338515882934
"PRKAB2","PRKAB2",-1,-1,7,"0.0203378652208016",1,1,6.30155285784511e-27
"F11R","F11R",-1,-1,9,"0.020357138268255",1,1,1.76631143606118e-21
"MYO3A","MYO3A",-1,-1,8,"0.0204519925936995",1,1,5.1361090428201e-23
"NAPG","NAPG",-1,-1,10,"0.0207571201506457",1,0.999998881959547,1.11804045304628e-06
"PCOLCE","PCOLCE",-1,-1,8,"0.0208228072177241",1,0.913596426405672,0.0864035735943277
"HTR1F","HTR1F",-1,-1,9,"0.0208670013831091",1,1.55659743217366e-10,0.99999999984434
"ANKRD42","ANKRD42",-1,-1,9,"0.0209755723198707",1,2.90630159851838e-10,0.99999999970937
"IRX2","IRX2",-1,-1,9,"0.0211873256788328",1,1.10545254498695e-13,0.999999999999889
"SEMA3G","SEMA3G",-1,-1,9,"0.0212161406694442",1,1.63624034808615e-12,0.999999999998364
"PHF17","PHF17",-1,-1,9,"0.0213492268698781",1,NA,NA
"TENC1","TENC1",-1,-1,9,"0.0215756659457898",1,NA,NA
"RASA2","RASA2",-1,-1,10,"0.0218465839911199",1,0.984043551278052,0.0159564487219482
"TCF7","TCF7",-1,-1,10,"0.0219917622066831",1,0.274400074385933,0.725599925614067
"UBE2S","UBE2S",-1,-1,9,"0.022030554905594",1,1,2.03543539669862e-115
"DHX38","DHX38",-1,-1,10,"0.0222750006524284",1,0.990849682276676,0.00915031772332431
"GRIK3","GRIK3",-1,-1,9,"0.022308855079509",1,0.998591777080009,0.0014082229199915
"MED1","MED1",-1,-1,10,"0.0223355511612903",1,0.999394110501772,0.000605889498227929
"LDHB","LDHB",-1,-1,9,"0.0225540629251734",1,1,1.29392183035815e-33
"PBRM1","PBRM1",-1,-1,9,"0.0228196712650063",1,2.16384674406601e-09,0.999999997836153
"TNFRSF10B","TNFRSF10B",-1,-1,9,"0.0230461105113981",1,0.0378438533210634,0.962156146678937
"CCNYL1","CCNYL1",-1,-1,10,"0.0230823667060148",1,6.93006595747658e-07,0.999999306993404
"EIF4G3","EIF4G3",-1,-1,9,"0.023169077321193",1,0.999999999951172,4.88280687983907e-11
"ACO2","ACO2",-1,-1,10,"0.0232101125611594",1,1,7.23843864358164e-20
"MERTK","MERTK",-1,-1,10,"0.0232203690610074",1,1,3.50018782737177e-16
"LMNA","LMNA",-1,-1,8,"0.0232330527763596",1,0.000904153097786044,0.999095846902214
"ILF3","ILF3",-1,-1,8,"0.0232618872508491",1,1,4.24195021938976e-58
"TMEM65","TMEM65",-1,-1,10,"0.0233689183711146",1,1,1.87096543777476e-39
"ARL6","ARL6",-1,-1,9,"0.0234995721613266",1,6.32316457736959e-05,0.999936768354226
"ACOT11","ACOT11",-1,-1,9,"0.0235626319569724",1,1,2.48759401382504e-56
"MED7","MED7",-1,-1,9,"0.0238345307326214",1,1.36132487410558e-09,0.999999998638675
"PLXNA2","PLXNA2",-1,-1,9,"0.0240864335757708",1,8.85274376662417e-15,0.999999999999991
"CCNA2","CCNA2",-1,-1,10,"0.0241064586163321",1,1,3.43025032859527e-145
"DHRS7B","DHRS7B",-1,-1,10,"0.0241766693316045",1,1.60851168677097e-19,1
"DDX17","DDX17",-1,-1,10,"0.0242696055815322",1,0.0345468394434715,0.965453160556528
"NACC1","NACC1",-1,-1,9,"0.0245012237615253",1,1,1.76085174035936e-41
"PARP14","PARP14",-1,-1,10,"0.024517115801124",1,2.83109819380639e-07,0.999999716890181
"SERPINF1","SERPINF1",-1,-1,10,"0.0249960556373981",1,0.999994261251995,5.73874800546458e-06
"TRIP12","TRIP12",-1,-1,10,"0.0251838393631535",1,0.583409916144489,0.416590083855511
"TNFRSF21","TNFRSF21",-1,-1,10,"0.0253181403181605",1,1,7.12934503210792e-47
"RASL12","RASL12",-1,-1,10,"0.0255781300826134",1,1.16653345721801e-18,1
"KCNQ1","KCNQ1",-1,-1,9,"0.0256963744642579",1,1.64330293154357e-24,1
"PLK1","PLK1",-1,-1,10,"0.0260452652829462",1,1,1.87654116762768e-166
"C3orf80","C3orf80",-1,-1,9,"0.0261687459621697",1,0.999004638441871,0.000995361558129109
"AGR2","AGR2",-1,-1,10,"0.0264120656790456",1,0.827625031207726,0.172374968792274
"SUV420H2","SUV420H2",-1,-1,9,"0.0265955729087084",1,NA,NA
"ST7","ST7",-1,-1,8,"0.0267593167529816",1,1.61877255972487e-23,1
"TCL1A","TCL1A",-1,-1,10,"0.0269006298154321",1,0.52248966762995,0.47751033237005
"OR2T10","OR2T10",-1,-1,2,"0.027092893519684",1,0.213570544414534,0.786429455585466
"MED9","MED9",-1,-1,10,"0.0272216975322911",1,0.999999999985417,1.45828242528049e-11
"SLC7A8","SLC7A8",-1,-1,10,"0.0272574029008588",1,1,2.68908941302852e-33
"AHI1","AHI1",-1,-1,9,"0.0273559640444402",1,0.00903718679451098,0.990962813205489
"PRPF4","PRPF4",-1,-1,10,"0.0278817993950354",1,1,3.05773991103891e-86
"E2F4","E2F4",-1,-1,10,"0.027933097010965",1,1,4.83735353682315e-46
"TMEM189","TMEM189",-1,-1,10,"0.0280080193716391",1,1,1.19125140949953e-101
"PDZK1IP1","PDZK1IP1",-1,-1,10,"0.0281158459618406",1,0.880084770821283,0.119915229178717
"HIF1AN","HIF1AN",-1,-1,10,"0.0281368752120296",1,0.988792742942941,0.0112072570570593
"AKR1B1","AKR1B1",-1,-1,10,"0.0281860023223648",1,0.999999999999933,6.65359460663951e-14
"CYP3A4","CYP3A4",-1,-1,7,"0.0283192391703415",1,0.952028336275506,0.0479716637244944
"C1QTNF6","C1QTNF6",-1,-1,10,"0.0283900112046424",1,1,5.52656665527497e-51
"GNG3","GNG3",-1,-1,10,"0.0288071784065251",1,1,1.12951142819305e-18
"BCAN","BCAN",-1,-1,9,"0.0288999781352274",1,0.999876677284042,0.000123322715958022
"KIF1C","KIF1C",-1,-1,10,"0.0289662126566929",1,3.90033115497318e-21,1
"APAF1","APAF1",-1,-1,10,"0.0290012082038517",1,1.13045927038095e-09,0.999999998869541
"PHIP","PHIP",-1,-1,10,"0.029019912655641",1,0.999350735631879,0.00064926436812069
"EP400","EP400",-1,-1,8,"0.029034547092885",1,0.999996840769441,3.15923055917663e-06
"HTR1D","HTR1D",-1,-1,10,"0.0294969149890692",1,0.9999144278214,8.55721785996678e-05
"GNB4","GNB4",-1,-1,9,"0.0296619774307231",1,0.689245985916356,0.310754014083644
"CCNL1","CCNL1",-1,-1,8,"0.0299015518922205",1,0.990865303823024,0.00913469617697626
"NACA2","NACA2",-1,-1,10,"0.0299768810306979",1,0.999999999764973,2.35026583959504e-10
"SDCBP","SDCBP",-1,-1,9,"0.0303143494905917",1,7.45761047877047e-27,1
"ABCA8","ABCA8",-1,-1,8,"0.0304387162967547",1,1.51770971759376e-21,1
"UBL4B","UBL4B",-1,-1,10,"0.0305279092051596",1,0.999999940492744,5.95072555893885e-08
"HOXC11","HOXC11",-1,-1,10,"0.0306236522289514",1,1,4.80512183319002e-46
"C1QTNF8","C1QTNF8",-1,-1,10,"0.0309334442534503",1,0.0266543116253274,0.973345688374673
"PAX2","PAX2",-1,-1,10,"0.0310161851299611",1,0.999541433445416,0.000458566554584178
"MAVS","MAVS",-1,-1,9,"0.0310712184390978",1,0.958818822385546,0.0411811776144544
"GPSM2","GPSM2",-1,-1,10,"0.031213294124876",1,1,5.67729994228152e-90
"OR51B5","OR51B5",-1,-1,8,"0.0312288244430425",1,0.99999996854127,3.14587296796195e-08
"CDKL2","CDKL2",-1,-1,10,"0.0312547709113252",1,4.41072135979855e-22,1
"FBXO10","FBXO10",-1,-1,9,"0.0313862305342463",1,0.702990730962737,0.297009269037263
"ACOX2","ACOX2",-1,-1,9,"0.0314069267340614",1,7.34732737225399e-22,1
"TIPARP","TIPARP",-1,-1,9,"0.0314151818915104",1,1.15487561016344e-08,0.999999988451244
"ADRM1","ADRM1",-1,-1,9,"0.0314211695405069",1,1,7.48627862154192e-50
"WDR49","WDR49",-1,-1,7,"0.031446028723592",1,0.00104917019176567,0.998950829808234
"CFL1","CFL1",-1,-1,9,"0.031601625750609",1,1,2.5518842696603e-23
"RNF112","RNF112",-1,-1,9,"0.0319854338845848",1,8.42332716415583e-06,0.999991576672836
"ADRBK2","ADRBK2",-1,-1,9,"0.0322280031107415",1,NA,NA
"SMAP1","SMAP1",-1,-1,10,"0.032427340312667",1,1,1.92233857990607e-17
"TEAD1","TEAD1",-1,-1,9,"0.0325286975855517",1,5.9426909654483e-09,0.999999994057309
"RNF168","RNF168",-1,-1,5,"0.0325861316391809",1,1,9.0986332786495e-74
"UBA6","UBA6",-1,-1,9,"0.0326102211845041",1,1,7.06606305170393e-59
"RAB6A","RAB6A",-1,-1,10,"0.0326271114625197",1,0.999663742854718,0.000336257145282348
"LEPRE1","LEPRE1",-1,-1,10,"0.032831103538054",1,NA,NA
"MAN1B1","MAN1B1",-1,-1,9,"0.0331472350512002",1,1,7.14090531634738e-36
"CFLAR","CFLAR",-1,-1,10,"0.0332584152112906",1,2.4026258160574e-16,1
"SDF4","SDF4",-1,-1,10,"0.033307665615643",1,1,2.55371706838588e-18
"URI1","URI1",-1,-1,9,"0.0335592126407438",1,1,5.47086650466411e-43
"INPP5A","INPP5A",-1,-1,10,"0.0338189364286656",1,2.21179639625014e-16,1
"CLP1","CLP1",-1,-1,10,"0.0341401664970285",1,1,1.097479244557e-26
"CD1E","CD1E",-1,-1,8,"0.0346298896045067",1,4.07977204142614e-10,0.999999999592023
"SRP19","SRP19",-1,-1,10,"0.0349030515965222",1,0.999658570018139,0.000341429981861094
"TMEM64","TMEM64",-1,-1,9,"0.0351018248288073",1,0.00227424904037575,0.997725750959624
"GP5","GP5",-1,-1,5,"0.0354242213071293",1,3.08573013652942e-10,0.999999999691427
"NAT8L","NAT8L",-1,-1,9,"0.0354300976854845",1,1,2.91468871897139e-24
"CLCN7","CLCN7",-1,-1,9,"0.0356760425419389",1,0.993310401935471,0.00668959806452943
"SLAMF7","SLAMF7",-1,-1,9,"0.035791091193579",1,0.999956582168938,4.34178310619388e-05
"ACTR6","ACTR6",-1,-1,10,"0.0358027958381771",1,1,5.48447663171181e-23
"ZBTB49","ZBTB49",-1,-1,9,"0.0358041036422705",1,0.00298745054535283,0.997012549454647
"USPL1","USPL1",-1,-1,10,"0.0363012705342129",1,0.00387647580407665,0.996123524195923
"ALDH6A1","ALDH6A1",-1,-1,9,"0.0363789819980711",1,8.09199517267123e-11,0.99999999991908
"WNT7A","WNT7A",-1,-1,10,"0.0365192108126717",1,6.80919502739519e-14,0.999999999999932
"SMARCD1","SMARCD1",-1,-1,10,"0.0365506145050508",1,1,4.66473734159545e-56
"ADIPOQ","ADIPOQ",-1,-1,9,"0.0366340880627805",1,0.981315123766536,0.0186848762334644
"NR0B2","NR0B2",-1,-1,9,"0.0369466503950074",1,5.24504084966413e-13,0.999999999999476
"OR2G2","OR2G2",-1,-1,10,"0.0369614054963491",1,0.349987939347519,0.650012060652481
"CR1L","CR1L",-1,-1,10,"0.0369832952697236",1,0.181515512536321,0.818484487463679
"FGFR3","FGFR3",-1,-1,9,"0.0369892833999467",1,0.999999999999485,5.14841561488293e-13
