"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","tumor_expressed_less","tumor_expressed_more"
"MCF2L2","MCF2L2",-1,-1,13,"2.75759294256845e-06",0.0170832882792115,0.999999998551658,1.44834168433007e-09
"MAPKBP1","MAPKBP1",-1,-1,13,"1.57303432756137e-05",0.0974337462491513,1,1.04323974442513e-42
"SFT2D2","SFT2D2",-1,-1,12,"1.58970075166466e-05",0.0984501675505924,1,8.96788685543068e-49
"WDR41","WDR41",-1,-1,13,"1.63412862443692e-05",0.101185244425134,1,2.1761554396517e-33
"PCOLCE","PCOLCE",-1,-1,12,"2.07086447609735e-05",0.128207219715187,0.58989174043218,0.41010825956782
"RALGAPA2","RALGAPA2",-1,-1,13,"2.12401445589362e-05",0.131476494819815,0.999979341931634,2.06580683662452e-05
"NGB","NGB",-1,-1,13,"2.14768204411519e-05",0.132920041710289,0.983587712655241,0.0164122873447594
"AMIGO2","AMIGO2",-1,-1,13,"3.02788408458415e-05",0.187365467154067,0.984568136163899,0.0154318638361007
"KCNMB2","KCNMB2",-1,-1,13,"3.1911721033777e-05",0.197437818035978,0.969644282398936,0.0303557176010635
"CES5A","CES5A",-1,-1,12,"4.61167649764164e-05",0.285278308144112,1.59003409642478e-07,0.99999984099659
"TEAD3","TEAD3",-1,-1,13,"6.09798309985365e-05",0.377160254725948,1,1.04611768314742e-31
"WHSC1","WHSC1",-1,-1,13,"6.33360058253478e-05",0.391669860023951,NA,NA
"MASP1","MASP1",-1,-1,12,"6.60642494018993e-05",0.408475254051943,4.93113858444707e-26,1
"PCTP","PCTP",-1,-1,13,"7.49341787245482e-05",0.463243092875157,6.23904730949523e-06,0.999993760952691
"GNG10","GNG10",-1,-1,13,"7.49874177493446e-05",0.463497229108699,1,5.72843961985354e-18
"DNAJC25-GNG10","DNAJC25-GNG10",-1,-1,13,"7.49874177493446e-05",0.463497229108699,0.441126288337903,0.558873711662097
"PKMYT1","PKMYT1",-1,-1,13,"7.92478206311833e-05",0.489672283680082,1,3.98326376858429e-53
"HES3","HES3",-1,-1,13,"8.31113884286759e-05",0.51346215771236,0.996288831265556,0.00371116873444379
"SMAD9","SMAD9",-1,-1,13,"8.48531423073243e-05",0.524137860032342,0.931255643407566,0.0687443565924342
"SPAG1","SPAG1",-1,-1,12,"8.97619804534962e-05",0.554369991280793,0.999999999561464,4.38536447305297e-10
"WDR89","WDR89",-1,-1,12,"9.43181488993364e-05",0.582414569453402,0.999993482379412,6.51762058766434e-06
"PPP2R2C","PPP2R2C",-1,-1,13,"0.000109858336954865",0.678265372359336,0.999999999999548,4.51543462462069e-13
"GALK1","GALK1",-1,-1,11,"0.00012498338116925",0.77152241195778,0.999999999965312,3.46877837573297e-11
"EXOC2","EXOC2",-1,-1,11,"0.000125031233519159",0.771692773280249,1,2.49169017433516e-25
"RAPGEFL1","RAPGEFL1",-1,-1,13,"0.000127499890897332",0.786801826727436,1,4.9974199031543e-21
"KANK3","KANK3",-1,-1,13,"0.000130950882131697",0.80796694275257,0.99999999999761,2.38968853887121e-12
"ELL2","ELL2",-1,-1,13,"0.000139882141916589",0.862932933483437,0.189881521043863,0.810118478956137
"TRADD","TRADD",-1,-1,13,"0.000146351566633548",0.902696462995724,1,5.39227472113273e-34
"TAOK2","TAOK2",-1,-1,13,"0.000159106132458124",0.981207518869251,1,2.23519851864061e-69
"HELZ","HELZ",-1,-1,12,"0.000175925514667671",1,0.999999999994418,5.58188740564987e-12
"ATG4D","ATG4D",-1,-1,12,"0.000277798597531532",1,1,1.56401623360888e-23
"FRMPD1","FRMPD1",-1,-1,11,"0.000292463161027926",1,0.999999999999937,6.32369698269104e-14
"SLIRP","SLIRP",-1,-1,13,"0.000306342901087107",1,1,1.04304977227332e-29
"GZMB","GZMB",-1,-1,12,"0.000339929775688366",1,0.994499579215277,0.0055004207847231
"PHF19","PHF19",-1,-1,13,"0.000449739443847063",1,1,1.31824281720279e-42
"TSPAN9","TSPAN9",-1,-1,13,"0.000458310199572653",1,0.121163273033147,0.878836726966853
"CPEB2","CPEB2",-1,-1,10,"0.000463588806392936",1,0.616544332965754,0.383455667034246
"FBXW4","FBXW4",-1,-1,13,"0.000463827895048866",1,1,3.66979525302009e-35
"FKBP7","FKBP7",-1,-1,11,"0.000553533659826167",1,0.393709054716288,0.606290945283712
"RXRA","RXRA",-1,-1,13,"0.00056839490042087",1,0.999539792355811,0.000460207644188886
"SDC4","SDC4",-1,-1,12,"0.000583426683433291",1,0.000102198719964348,0.999897801280036
"SERPINB11","SERPINB11",-1,-1,12,"0.000607557941966205",1,0.999370235255994,0.000629764744006186
"KPNA6","KPNA6",-1,-1,13,"0.000660925186590286",1,0.999999999987666,1.23336588854966e-11
"ATAD1","ATAD1",-1,-1,13,"0.000691856349452689",1,0.999999999245923,7.5407695667646e-10
"NBR1","NBR1",-1,-1,13,"0.000711153331632407",1,0.999999786204169,2.13795831356718e-07
"HSD11B1L","HSD11B1L",-1,-1,13,"0.00072677029091346",1,1,2.40334390084283e-17
"BRIP1","BRIP1",-1,-1,13,"0.000755698933137749",1,1,1.48707947693842e-37
"ZBTB32","ZBTB32",-1,-1,13,"0.000796396753732437",1,0.999999999999984,1.55081060477028e-14
"MFN1","MFN1",-1,-1,13,"0.000828019485942779",1,1,3.43540743417057e-34
"FAM91A1","FAM91A1",-1,-1,11,"0.000833095021975234",1,1,1.78282557807577e-29
"GJC1","GJC1",-1,-1,13,"0.000914074869660878",1,1,2.28771355196652e-40
"ARID1B","ARID1B",-1,-1,12,"0.000936849701370335",1,0.999999998699718,1.30028204005524e-09
"PRMT10","PRMT10",-1,-1,13,"0.000943785645607176",1,NA,NA
"CDK14","CDK14",-1,-1,12,"0.000955917372835078",1,1,4.37452133502679e-20
"FARP2","FARP2",-1,-1,13,"0.000962822881089631",1,0.976531124488082,0.0234688755119183
"PIGG","PIGG",-1,-1,13,"0.00104732089540449",1,1,1.75061111002356e-53
"ZAK","ZAK",-1,-1,11,"0.00104967267623975",1,NA,NA
"TECPR2","TECPR2",-1,-1,11,"0.00119000564498478",1,1,3.2904447056252e-18
"MAK","MAK",-1,-1,13,"0.00121653020812967",1,0.494686923765814,0.505313076234186
"MAST2","MAST2",-1,-1,13,"0.00124642119797632",1,1,7.66186084384987e-63
"ALDH3B2","ALDH3B2",-1,-1,10,"0.00139965925334265",1,0.977942264846147,0.0220577351538529
"HOXB6","HOXB6",-1,-1,13,"0.00140775813446468",1,0.99997922908909,2.07709109096247e-05
"SERPINE3","SERPINE3",-1,-1,12,"0.00142701774540203",1,0.999999996064119,3.93588110855246e-09
"DHX35","DHX35",-1,-1,12,"0.00148574265888862",1,1,6.65044797851745e-50
"KDM5B","KDM5B",-1,-1,12,"0.0015291684551517",1,1,9.78616345742167e-42
"CES1","CES1",-1,-1,12,"0.0015504426881445",1,0.982301883034602,0.0176981169653977
"CEACAM1","CEACAM1",-1,-1,13,"0.00162605583841939",1,0.994873944692393,0.00512605530760673
"LRRC8B","LRRC8B",-1,-1,13,"0.00171172368493778",1,0.981846886178519,0.0181531138214813
"PPP3CC","PPP3CC",-1,-1,11,"0.00171345919908504",1,0.99938046124998,0.000619538750019856
"SEMA6A","SEMA6A",-1,-1,13,"0.00171930022849658",1,0.999983393289202,1.66067107979264e-05
"ARHGEF7","ARHGEF7",-1,-1,13,"0.00173049611209967",1,1,8.10351721711785e-25
"C1R","C1R",-1,-1,11,"0.00174280854164027",1,1.22614422042939e-26,1
"DMGDH","DMGDH",-1,-1,13,"0.0018541525590126",1,7.44701030862732e-17,1
"TPH1","TPH1",-1,-1,13,"0.00187092782596007",1,0.999999046215843,9.53784157005446e-07
"WNT8A","WNT8A",-1,-1,13,"0.00189172095043626",1,0.961094020459178,0.0389059795408223
"ARL17A","ARL17A",-1,-1,8,"0.00192648228526744",1,1,2.77000108304437e-32
"ARL17B","ARL17B",-1,-1,8,"0.00192648228526744",1,1,1.30494608247241e-20
"EMID1","EMID1",-1,-1,12,"0.00193292160020564",1,0.999957222523875,4.27774761251816e-05
"ITIH1","ITIH1",-1,-1,12,"0.00197863074515294",1,5.19936257418051e-14,0.999999999999948
"PEX7","PEX7",-1,-1,13,"0.00204151849055144",1,0.999999999989973,1.00270798557237e-11
"RPTOR","RPTOR",-1,-1,12,"0.00217342841037664",1,1,6.49827559127057e-55
"CSNK1G3","CSNK1G3",-1,-1,13,"0.00217791305365777",1,0.999988831846923,1.11681530767107e-05
"ANGPTL5","ANGPTL5",-1,-1,12,"0.00225785453014797",1,0.997838611754037,0.00216138824596329
"TBC1D2","TBC1D2",-1,-1,12,"0.00227040431996072",1,0.998769890946542,0.00123010905345798
"ADCK1","ADCK1",-1,-1,13,"0.00227496165575901",1,1,8.3958600337955e-42
"PSMA8","PSMA8",-1,-1,13,"0.00227553352705051",1,0.997823312527835,0.00217668747216458
"AKAP8","AKAP8",-1,-1,13,"0.00229044669477334",1,1,3.83938956366496e-45
"GSTM2","GSTM2",-1,-1,13,"0.00233102623505338",1,0.999999984614647,1.53853532333664e-08
"MCOLN2","MCOLN2",-1,-1,13,"0.00257655515719691",1,0.991832661128484,0.00816733887151553
"MAP3K13","MAP3K13",-1,-1,12,"0.00286919923089148",1,1,3.7986267275898e-18
"ID2","ID2",-1,-1,13,"0.00292127968423702",1,5.89417817775481e-13,0.999999999999411
"NSF","NSF",-1,-1,13,"0.00297513701574035",1,1,1.3741917651881e-55
"TIPARP","TIPARP",-1,-1,13,"0.0029773092948604",1,0.00616128671213988,0.99383871328786
"LRP6","LRP6",-1,-1,12,"0.00299740734507814",1,0.9999984622353,1.5377646998318e-06
"SEC62","SEC62",-1,-1,13,"0.00299983771968759",1,8.47493636068456e-10,0.999999999152506
"PRDM5","PRDM5",-1,-1,13,"0.00301738155299308",1,0.999999906112683,9.38873170476551e-08
"LOC649395","LOC649395",-1,-1,13,"0.00302398363455744",1,NA,NA
"DUOX2","DUOX2",-1,-1,10,"0.00308782853317603",1,0.988779697910747,0.0112203020892532
"LOC375295","LOC375295",-1,-1,11,"0.00317643849670718",1,NA,NA
"MCMBP","MCMBP",-1,-1,13,"0.00322880049215424",1,0.99999999997187,2.81299731430963e-11
"GPR149","GPR149",-1,-1,13,"0.00324048359491926",1,0.883554459269743,0.116445540730257
"SLC16A5","SLC16A5",-1,-1,13,"0.00324594835884891",1,0.402059285031096,0.597940714968904
"AKR1B1","AKR1B1",-1,-1,13,"0.00331693140148232",1,0.999999931490091,6.85099087879751e-08
"ZNF131","ZNF131",-1,-1,13,"0.00340797458841027",1,1,3.6284475617592e-34
"KDM5A","KDM5A",-1,-1,13,"0.00343086889035876",1,0.999999999764469,2.35531029274479e-10
"PIK3R4","PIK3R4",-1,-1,12,"0.00349382598261831",1,0.592269564821471,0.407730435178529
"DENND3","DENND3",-1,-1,10,"0.00352446494042641",1,0.999989799692593,1.02003074074445e-05
"GTPBP8","GTPBP8",-1,-1,13,"0.00353135790834114",1,0.999999999352052,6.47947956720494e-10
"TLE2","TLE2",-1,-1,13,"0.00354061950460719",1,1,3.51577233184385e-20
"RABEPK","RABEPK",-1,-1,13,"0.00356768309067267",1,0.999999999997182,2.81770119033162e-12
"ARVCF","ARVCF",-1,-1,13,"0.00362493330218301",1,0.978742831580514,0.021257168419486
"KLK10","KLK10",-1,-1,13,"0.00365429126843068",1,0.437784311595993,0.562215688404007
"DAK","DAK",-1,-1,12,"0.0037450688435361",1,NA,NA
"ANKRD42","ANKRD42",-1,-1,11,"0.00374787988269585",1,0.999992872569017,7.12743098318697e-06
"SNRK","SNRK",-1,-1,13,"0.00379345974513986",1,0.00392886525795825,0.996071134742042
"TBL2","TBL2",-1,-1,12,"0.00379828900349207",1,1,1.94152186273294e-61
"THBS2","THBS2",-1,-1,13,"0.00393630471630676",1,0.99999999998195,1.80497101078774e-11
"PARP6","PARP6",-1,-1,13,"0.00396784968166833",1,0.999990673934362,9.3260656382379e-06
"DMWD","DMWD",-1,-1,13,"0.00408095260484598",1,0.999999999999884,1.15687066299365e-13
"LGALSL","LGALSL",-1,-1,13,"0.00418416052444936",1,1,4.28571008364285e-20
"THRSP","THRSP",-1,-1,12,"0.00421832449585289",1,6.19245244041126e-06,0.99999380754756
"PPP1R15A","PPP1R15A",-1,-1,13,"0.00430360303339079",1,0.0262215522721142,0.973778447727886
"WDR35","WDR35",-1,-1,13,"0.00432362861118434",1,1,2.44933173696378e-18
"EIF5A2","EIF5A2",-1,-1,13,"0.00435180057476633",1,1,2.25097236100686e-21
"LOXL2","LOXL2",-1,-1,11,"0.00441995200546967",1,1,3.13797266953279e-30
"PHC3","PHC3",-1,-1,13,"0.0044691879551945",1,0.999999989663346,1.03366535882177e-08
"HIST1H2BB","HIST1H2BB",-1,-1,13,"0.00460413238325751",1,0.999999998934861,1.06513859105797e-09
"GIT1","GIT1",-1,-1,13,"0.00462643176618935",1,1,5.02187321983533e-59
"DGUOK","DGUOK",-1,-1,13,"0.00465738033674438",1,1,2.97901801890275e-28
"ARHGAP26","ARHGAP26",-1,-1,12,"0.00470292440519783",1,1,1.90730573111895e-17
"MLL5","MLL5",-1,-1,13,"0.00472306638530674",1,NA,NA
"RAB6A","RAB6A",-1,-1,12,"0.0048635637697643",1,0.993373439270261,0.00662656072973921
"TSPAN31","TSPAN31",-1,-1,13,"0.00489360356072145",1,1,2.92889482134607e-20
"PHKB","PHKB",-1,-1,13,"0.00498369414335184",1,1,2.60772452179829e-18
"GABRA6","GABRA6",-1,-1,13,"0.00507867958377927",1,0.946858172875362,0.0531418271246385
"LY6E","LY6E",-1,-1,12,"0.00509157644468205",1,4.04465867865438e-15,0.999999999999996
"RBP5","RBP5",-1,-1,12,"0.00515489741294305",1,6.42914639182053e-06,0.999993570853608
"RAB5B","RAB5B",-1,-1,13,"0.0052876872304684",1,1,2.01026015677639e-34
"PHC1","PHC1",-1,-1,12,"0.00530362501909703",1,0.99999790462941,2.0953705896717e-06
"PLEKHG6","PLEKHG6",-1,-1,13,"0.00541931791019381",1,1,1.8935813337973e-16
"TIAM1","TIAM1",-1,-1,11,"0.00566084673567573",1,0.000924835875346063,0.999075164124654
"GTF2F1","GTF2F1",-1,-1,13,"0.00571662072434295",1,1,4.13455391813753e-42
"HLA-B","HLA-B",-1,-1,13,"0.00572557414872734",1,0.999979322786785,2.06772132149443e-05
"RAD51D","RAD51D",-1,-1,13,"0.00577439018150942",1,1,1.11119780735801e-45
"BRSK1","BRSK1",-1,-1,13,"0.00579505162146092",1,1,1.61645753160047e-41
"FOXA2","FOXA2",-1,-1,13,"0.00580281610918116",1,0.999999995795952,4.20404807996308e-09
"RHOG","RHOG",-1,-1,13,"0.00581318273701721",1,1,9.51111177410883e-20
"SEMA4A","SEMA4A",-1,-1,12,"0.00584962637708763",1,0.990141705428164,0.00985829457183565
"EME1","EME1",-1,-1,13,"0.0058678703795687",1,1,8.72373512615023e-47
"TSSC1","TSSC1",-1,-1,13,"0.00596398023304247",1,NA,NA
"PCDH7","PCDH7",-1,-1,12,"0.00603926815892185",1,0.83937351040275,0.16062648959725
"CYP2S1","CYP2S1",-1,-1,13,"0.00613306689985683",1,0.999694863083409,0.000305136916590667
"ARPC1A","ARPC1A",-1,-1,13,"0.00618486605349724",1,1,1.57572038749054e-71
"VSTM5","VSTM5",-1,-1,12,"0.00628192680067148",1,0.999729167515326,0.000270832484674262
"CNR2","CNR2",-1,-1,13,"0.00641418275959478",1,0.63472246773683,0.36527753226317
"ARNT2","ARNT2",-1,-1,12,"0.00641523144243802",1,0.999999999974848,2.51519178259929e-11
"ALDH4A1","ALDH4A1",-1,-1,13,"0.00643680419729754",1,1.21326728461593e-09,0.999999998786733
"PHLDA2","PHLDA2",-1,-1,13,"0.00654376065910971",1,0.99999834053761,1.65946239014077e-06
"HERC1","HERC1",-1,-1,10,"0.00654911621165357",1,0.999999999999996,3.76797317005533e-15
"MEP1A","MEP1A",-1,-1,13,"0.00657542339558519",1,0.999999934234899,6.57651008171619e-08
"CCR6","CCR6",-1,-1,12,"0.00659472858121485",1,0.997475243166585,0.00252475683341477
"ULK3","ULK3",-1,-1,13,"0.00663914475821703",1,1,1.04773768523713e-50
"PVRL3","PVRL3",-1,-1,13,"0.00673130717193082",1,NA,NA
"ANKS1A","ANKS1A",-1,-1,13,"0.00690538877616881",1,0.987959047063622,0.0120409529363777
"NTNG1","NTNG1",-1,-1,13,"0.00700680891979581",1,0.919263767898609,0.0807362321013913
"AMBRA1","AMBRA1",-1,-1,13,"0.00702205551687811",1,1,1.00818862403388e-38
"ANXA6","ANXA6",-1,-1,13,"0.00708486503405136",1,0.982550428614311,0.0174495713856894
"KRT1","KRT1",-1,-1,12,"0.00708655809821455",1,0.279722194612389,0.720277805387611
"TRPM7","TRPM7",-1,-1,12,"0.00711235710137089",1,0.999701171991765,0.000298828008235312
"FOXA3","FOXA3",-1,-1,13,"0.00722912708346844",1,0.80601569207778,0.19398430792222
"CADM1","CADM1",-1,-1,12,"0.00724584385839856",1,1,7.51392646957835e-22
"WIPI1","WIPI1",-1,-1,12,"0.00733657499687382",1,1,1.8343113248886e-17
"HHLA2","HHLA2",-1,-1,13,"0.0075951479734454",1,0.981089892482388,0.0189101075176121
"CPEB4","CPEB4",-1,-1,12,"0.00768337511289675",1,0.00135717979690871,0.998642820203091
"ZBTB46","ZBTB46",-1,-1,13,"0.00770850270770268",1,0.999999999999999,8.05159749317991e-16
"LEFTY1","LEFTY1",-1,-1,13,"0.00771677287025129",1,0.996380304004256,0.00361969599574362
"CHRNA5","CHRNA5",-1,-1,13,"0.00774494833336035",1,0.999999999999999,8.43303001133869e-16
"HDGFRP3","HDGFRP3",-1,-1,13,"0.00791247736962467",1,NA,NA
"GEM","GEM",-1,-1,12,"0.00792464412783673",1,0.488205373031455,0.511794626968545
"HBG1","HBG1",-1,-1,12,"0.00816508381956127",1,0.0391150370396694,0.960884962960331
"HBG2","HBG2",-1,-1,12,"0.00816508381956127",1,0.278057536204641,0.721942463795359
"FTH1","FTH1",-1,-1,12,"0.00820514807393846",1,1,6.65417733646227e-38
"DCLRE1B","DCLRE1B",-1,-1,13,"0.00823759435373463",1,1,4.86155486731041e-41
"PTK2B","PTK2B",-1,-1,11,"0.00824655542669909",1,0.514611970205593,0.485388029794407
"C3orf43","C3orf43",-1,-1,13,"0.0082603709446974",1,NA,NA
"PRKAA2","PRKAA2",-1,-1,13,"0.00829023698375263",1,1,1.51605545416753e-28
"COL6A3","COL6A3",-1,-1,13,"0.00832725779664075",1,0.999999996709924,3.29007574480583e-09
"TNFRSF13C","TNFRSF13C",-1,-1,13,"0.00863036770376982",1,0.930297499195223,0.069702500804777
"TFG","TFG",-1,-1,13,"0.00864859477212013",1,1,3.5137709997675e-50
"RAD54B","RAD54B",-1,-1,12,"0.0086742491901695",1,1,2.14870706719388e-57
"AEBP2","AEBP2",-1,-1,11,"0.0087180310537327",1,0.999999998551942,1.44805791067288e-09
"SLC5A1","SLC5A1",-1,-1,13,"0.00881597759658222",1,0.000977768413413458,0.999022231586587
"ARL13B","ARL13B",-1,-1,12,"0.00886935647151221",1,0.999997376750362,2.62324963789226e-06
"STK33","STK33",-1,-1,13,"0.00898988877755333",1,0.999995411130726,4.58886927416824e-06
"EAF1","EAF1",-1,-1,13,"0.00903713523210548",1,0.99999920193679,7.98063209918986e-07
"RAD54L","RAD54L",-1,-1,13,"0.00904660989711707",1,1,4.47403146675474e-34
"DPYD","DPYD",-1,-1,12,"0.00910601213471455",1,4.55789730493876e-06,0.999995442102695
"SLC44A5","SLC44A5",-1,-1,12,"0.00913796841561535",1,1,6.28616183375674e-17
"SNRPA","SNRPA",-1,-1,13,"0.00915139168305698",1,1,5.39240493769262e-54
"KCNH8","KCNH8",-1,-1,13,"0.00922438935882242",1,0.999592123040554,0.000407876959445712
"HSD17B7","HSD17B7",-1,-1,12,"0.00930730826276692",1,1,5.01623847488762e-23
"PLXNA2","PLXNA2",-1,-1,13,"0.00959886181010134",1,1,2.10127064133973e-42
"ABCA10","ABCA10",-1,-1,12,"0.00968128020355884",1,0.841238353986732,0.158761646013268
"SCAF8","SCAF8",-1,-1,13,"0.00983254782281013",1,0.999999984224376,1.57756241112142e-08
"LANCL2","LANCL2",-1,-1,13,"0.009908096317056",1,1,1.17273345444235e-25
"WDR47","WDR47",-1,-1,13,"0.0100752112538424",1,0.999999999999805,1.95073581649425e-13
"CPS1","CPS1",-1,-1,11,"0.0102396020402338",1,3.33965166065741e-07,0.999999666034834
"NINJ2","NINJ2",-1,-1,13,"0.0102658097286924",1,1,4.89225199806126e-16
"HSD17B4","HSD17B4",-1,-1,12,"0.0103026066968309",1,0.994264983569606,0.00573501643039442
"STRADB","STRADB",-1,-1,13,"0.0103378041001962",1,0.0222324434002423,0.977767556599758
"HEPACAM2","HEPACAM2",-1,-1,12,"0.0103514274104584",1,0.995826160095375,0.00417383990462532
"BCL2L10","BCL2L10",-1,-1,12,"0.0104855720067733",1,0.999999964914057,3.50859433878031e-08
"KIF21B","KIF21B",-1,-1,13,"0.0105218241395417",1,1,6.60074717370916e-24
"FNDC3B","FNDC3B",-1,-1,13,"0.0105390827586921",1,0.999998509609368,1.49039063209435e-06
"TTC37","TTC37",-1,-1,12,"0.0106530416674245",1,1,1.05012465813181e-27
"ACAP1","ACAP1",-1,-1,12,"0.0106826945451165",1,0.980513290018905,0.0194867099810948
"AGAP6","AGAP6",-1,-1,13,"0.0106911232302991",1,1,4.39299867378958e-27
"CORO2B","CORO2B",-1,-1,13,"0.0107722364350006",1,0.994994758867346,0.00500524113265375
"PLCE1","PLCE1",-1,-1,12,"0.0107835769531045",1,1,6.93905394733371e-37
"METTL13","METTL13",-1,-1,12,"0.0108829441029272",1,1,6.88278938981349e-61
"ACO1","ACO1",-1,-1,12,"0.0109247689837032",1,0.00927052025628394,0.990729479743716
"NUDT19","NUDT19",-1,-1,12,"0.0112285098645493",1,1,1.58792805005216e-17
"S100A11","S100A11",-1,-1,12,"0.0112571240142408",1,0.999999999999972,2.74998527030692e-14
"IKZF4","IKZF4",-1,-1,13,"0.0113478760449888",1,1,7.18850602898583e-27
"DHRS7C","DHRS7C",-1,-1,11,"0.011415345065034",1,0.00114120096978466,0.998858799030215
"SHKBP1","SHKBP1",-1,-1,13,"0.0114239404782812",1,1,1.12641769323747e-39
"PPIG","PPIG",-1,-1,12,"0.0114761258657996",1,0.999999999958988,4.10119938136413e-11
"HELT","HELT",-1,-1,11,"0.0116301018246127",1,0.999989448051853,1.05519481471084e-05
"CASP9","CASP9",-1,-1,12,"0.0116888534321793",1,0.999953413454704,4.65865452958733e-05
"BRPF3","BRPF3",-1,-1,13,"0.0117041865195767",1,1,8.36987207820875e-35
"ANKRD11","ANKRD11",-1,-1,10,"0.011841589571947",1,1,4.08196063700632e-28
"RTN4IP1","RTN4IP1",-1,-1,13,"0.0118894466255282",1,1,1.43393469484e-28
"TMEM130","TMEM130",-1,-1,13,"0.0119253562312467",1,0.958920905276661,0.0410790947233392
"CHRM3","CHRM3",-1,-1,13,"0.0119805956241072",1,0.999999999999517,4.83166481397741e-13
"RAB34","RAB34",-1,-1,13,"0.0120505533125072",1,0.999999999999999,6.57341927356825e-16
"LTC4S","LTC4S",-1,-1,13,"0.012142744095657",1,0.997177459712537,0.00282254028746252
"ENDOV","ENDOV",-1,-1,12,"0.0122007403297738",1,1,4.1787457980401e-17
"ANKRD33B","ANKRD33B",-1,-1,12,"0.0122570548299805",1,0.999875550940883,0.000124449059117397
"MSH5","MSH5",-1,-1,13,"0.0123018196776607",1,1,6.50598467147984e-48
"MSH5-SAPCD1","MSH5-SAPCD1",-1,-1,13,"0.0123018196776607",1,1,1.15488022005696e-52
"RUNX1T1","RUNX1T1",-1,-1,13,"0.0123165918563949",1,0.990253306352548,0.00974669364745179
"WDR73","WDR73",-1,-1,13,"0.0123165918563949",1,1,3.41042853141211e-31
"PIGR","PIGR",-1,-1,13,"0.0123338449866091",1,0.998608446317443,0.00139155368255667
"WDR69","WDR69",-1,-1,13,"0.0123857268210784",1,NA,NA
"MAST3","MAST3",-1,-1,13,"0.0125750317194067",1,1,2.59831024891317e-50
"NCBP2","NCBP2",-1,-1,13,"0.0125825540715903",1,1,8.7766784194845e-44
"SGK2","SGK2",-1,-1,12,"0.0126048090709566",1,0.99999999988052,1.19479839429303e-10
"SERPINA3","SERPINA3",-1,-1,13,"0.0126403516242674",1,0.0187187443352901,0.98128125566471
"NCK2","NCK2",-1,-1,13,"0.0126504261915003",1,0.999999999999999,1.1845255060108e-15
"GNG8","GNG8",-1,-1,13,"0.0127059574226589",1,0.999995225961809,4.77403819123227e-06
"DDX28","DDX28",-1,-1,13,"0.01271860677918",1,0.999999991565871,8.43412927219567e-09
"PPP2R2D","PPP2R2D",-1,-1,13,"0.0128303796218782",1,0.999999999321332,6.78667868151856e-10
"DRD2","DRD2",-1,-1,12,"0.0128830699885563",1,0.958436002850228,0.0415639971497719
"GJC2","GJC2",-1,-1,13,"0.0130667635041788",1,0.999961805006019,3.8194993981383e-05
"KCNA2","KCNA2",-1,-1,13,"0.0132595503446033",1,0.978635281803263,0.0213647181967371
"COL6A6","COL6A6",-1,-1,13,"0.0134176165413817",1,1.20545650167633e-12,0.999999999998795
"ARHGEF37","ARHGEF37",-1,-1,13,"0.0134255612893564",1,1,3.23552737849143e-29
"DHTKD1","DHTKD1",-1,-1,13,"0.0136120654369109",1,7.83073947916865e-10,0.999999999216926
"ADAM17","ADAM17",-1,-1,13,"0.0137223118694303",1,0.999999999999999,9.13201717540675e-16
"SETD4","SETD4",-1,-1,13,"0.0137817772908206",1,1,2.11479707627993e-52
"HK3","HK3",-1,-1,13,"0.0137980326720187",1,1.83210025680297e-05,0.999981678997432
"H2AFY","H2AFY",-1,-1,13,"0.0138360245703605",1,1,1.42357618261689e-48
"LMTK2","LMTK2",-1,-1,12,"0.0138965572292234",1,1,2.57781073900136e-26
"SBDS","SBDS",-1,-1,13,"0.014071336996803",1,0.99999923408075,7.65919249719324e-07
"NUP37","NUP37",-1,-1,13,"0.0140823630565133",1,1,5.44918846541849e-61
"CYP21A2","CYP21A2",-1,-1,13,"0.0142430580125966",1,0.999999723734232,2.76265768029913e-07
"CYP21A1P","CYP21A1P",-1,-1,13,"0.0142430580125966",1,1,9.04874427980527e-18
"CORO6","CORO6",-1,-1,13,"0.0145265627178045",1,0.999999999852407,1.47592897074489e-10
"RBM14-RBM4","RBM14-RBM4",-1,-1,11,"0.0145734423189312",1,0.999999999999007,9.93449027286262e-13
"NACC2","NACC2",-1,-1,11,"0.0146108356131404",1,1,4.27107414397013e-23
"WDR49","WDR49",-1,-1,13,"0.0146857828285701",1,0.999984929980428,1.50700195720028e-05
"TLE6","TLE6",-1,-1,13,"0.0147086475479916",1,1,3.3999995196619e-22
"CD97","CD97",-1,-1,13,"0.0149563336662695",1,NA,NA
"DUT","DUT",-1,-1,12,"0.0149821070429609",1,1,1.21156821553515e-58
"SMAD1","SMAD1",-1,-1,13,"0.0154830838523087",1,0.105861196757581,0.894138803242419
"PARP12","PARP12",-1,-1,13,"0.0155099731229625",1,0.999999999994387,5.61314769828508e-12
"FEM1B","FEM1B",-1,-1,13,"0.015560870550701",1,0.999999996125624,3.87437572704874e-09
"TMEM171","TMEM171",-1,-1,13,"0.0157023144620608",1,0.999999999754339,2.45661393853537e-10
"TP53BP1","TP53BP1",-1,-1,12,"0.0159768350083995",1,1,3.05913912885728e-24
"RHEB","RHEB",-1,-1,13,"0.0160437099728764",1,1,5.19985164076771e-63
"HTR1F","HTR1F",-1,-1,13,"0.0164320307747125",1,0.987660460629614,0.0123395393703858
"SIPA1L1","SIPA1L1",-1,-1,10,"0.0168589566632441",1,1,6.37989029103924e-25
