"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues","1","2"
"COPS8","COPS8",-1,-1,9,"8.93507490218326e-13",5.53438539441231e-09,NA,NA
"XRCC5","XRCC5",-1,-1,9,"1.64269708946563e-10",1.01732230750606e-06,NA,NA
"COPS3","COPS3",-1,-1,9,"4.3908510161117e-10",2.71881494917636e-06,NA,NA
"TFRC","TFRC",-1,-1,8,"2.78907397177619e-09",1.72671569592664e-05,NA,NA
"DDX39B","DDX39B",-1,-1,9,"5.65867586121982e-09",3.50272035809507e-05,NA,NA
"ATP6V1G2-DDX39B","ATP6V1G2-DDX39B",-1,-1,9,"5.65867586121982e-09",3.50272035809507e-05,NA,NA
"WDR82","WDR82",-1,-1,9,"3.35976823029327e-08",0.000207902458090548,NA,NA
"SSRP1","SSRP1",-1,-1,9,"5.5882471317048e-08",0.000345744850038576,NA,NA
"CDC40","CDC40",-1,-1,9,"7.57516405158754e-08",0.000468599648231205,NA,NA
"TTK","TTK",-1,-1,8,"2.97612690380866e-07",0.00184073449000566,NA,NA
"UBE2I","UBE2I",-1,-1,9,"4.3110109582134e-07",0.00266592917655917,NA,NA
"SLITRK3","SLITRK3",-1,-1,8,"4.40320033878727e-07",0.00272249876947217,NA,NA
"DTL","DTL",-1,-1,9,"4.58554743842932e-07",0.00283478542643701,NA,NA
"EEF2","EEF2",-1,-1,9,"6.20509026383331e-07",0.00383536629207537,NA,NA
"TTC1","TTC1",-1,-1,9,"1.01856355139152e-06",0.00629472274759959,NA,NA
"DMAP1","DMAP1",-1,-1,9,"1.07958534556474e-06",0.00667075785024453,NA,NA
"MMS22L","MMS22L",-1,-1,8,"1.10175306844429e-06",0.00680663045684882,NA,NA
"UBL5","UBL5",-1,-1,9,"1.32867621660537e-06",0.00820723298997137,NA,NA
"POLD1","POLD1",-1,-1,9,"1.33815844916008e-06",0.00826446658201265,NA,NA
"UBR5","UBR5",-1,-1,9,"2.14768948836319e-06",0.0132619825906427,NA,NA
"AHCTF1","AHCTF1",-1,-1,9,"2.15093968847224e-06",0.0132799016366276,NA,NA
"RPS10","RPS10",-1,-1,9,"2.15796136748825e-06",0.013321095521505,NA,NA
"RPS10-NUDT3","RPS10-NUDT3",-1,-1,9,"2.15796136748825e-06",0.013321095521505,NA,NA
"KEAP1","KEAP1",-1,-1,9,"2.21697620927941e-06",0.0136809601874632,NA,NA
"MED8","MED8",-1,-1,9,"2.37440969819147e-06",0.0146501078378414,NA,NA
"SF3B4","SF3B4",-1,-1,8,"2.57257664804111e-06",0.0158702253417656,NA,NA
"RFC4","RFC4",-1,-1,8,"2.98083716609998e-06",0.0183858036405047,NA,NA
"CARS","CARS",-1,-1,8,"3.5729752863034e-06",0.0220345385906331,NA,NA
"CASP8AP2","CASP8AP2",-1,-1,9,"3.77263568962505e-06",0.0232620716622281,NA,NA
"NEDD8-MDP1","NEDD8-MDP1",-1,-1,9,"4.60764094978305e-06",0.0284061064554125,NA,NA
"PAF1","PAF1",-1,-1,9,"4.91021211601606e-06",0.030266547483123,NA,NA
"OGDH","OGDH",-1,-1,7,"4.98802695381162e-06",0.030741210116341,NA,NA
"PLRG1","PLRG1",-1,-1,9,"5.16629360514109e-06",0.0318347011948794,NA,NA
"FIP1L1","FIP1L1",-1,-1,9,"6.67804836440578e-06",0.041143455973104,NA,NA
"PRPF6","PRPF6",-1,-1,7,"7.34260118062657e-06",0.0452304232726597,NA,NA
"TLE3","TLE3",-1,-1,9,"7.58538202028092e-06",0.0467183678629102,NA,NA
"RNF40","RNF40",-1,-1,9,"7.75411672915283e-06",0.0477498508181231,NA,NA
"TOP2A","TOP2A",-1,-1,9,"8.989010748639e-06",0.0553453391793703,NA,NA
"WDR70","WDR70",-1,-1,6,"1.06263007141338e-05",0.0654155071962077,NA,NA
"CERK","CERK",-1,-1,8,"1.13277198454664e-05",0.0697221156488457,NA,NA
"SMNDC1","SMNDC1",-1,-1,9,"1.59013875491443e-05",0.097857138977434,NA,NA
"GNL3","GNL3",-1,-1,9,"1.60378605006395e-05",0.0986809556604348,NA,NA
"PRPF4B","PRPF4B",-1,-1,9,"1.70410179776148e-05",0.104836342598286,NA,NA
"LOC341056","LOC341056",-1,-1,9,"1.87719129954855e-05",0.115466036835231,NA,NA
"RBMXL1","RBMXL1",-1,-1,9,"2.41584071649648e-05",0.148574204064534,NA,NA
"SNRNP40","SNRNP40",-1,-1,9,"2.73773200573091e-05",0.168343141032394,NA,NA
"EDC4","EDC4",-1,-1,9,"2.78108782745257e-05",0.170981279631784,NA,NA
"EIF3I","EIF3I",-1,-1,9,"2.82657069583525e-05",0.173749300672993,NA,NA
"RANBP2","RANBP2",-1,-1,9,"2.84882939528552e-05",0.175089054634248,NA,NA
"RAE1","RAE1",-1,-1,8,"2.95881991613234e-05",0.181819483846332,NA,NA
"FBXO5","FBXO5",-1,-1,9,"3.11199530453887e-05",0.191200991510868,NA,NA
"FTSJ3","FTSJ3",-1,-1,9,"3.27035714839941e-05",0.200898039626176,NA,NA
"GEMIN5","GEMIN5",-1,-1,8,"3.28546184734657e-05",0.201793066664026,NA,NA
"TBL3","TBL3",-1,-1,9,"3.31695455201286e-05",0.20369417903911,NA,NA
"CLSPN","CLSPN",-1,-1,9,"3.76447173520145e-05",0.231138564541369,NA,NA
"TARDBP","TARDBP",-1,-1,9,"3.96531065716133e-05",0.243430421243134,NA,NA
"ASH2L","ASH2L",-1,-1,9,"4.2964435013837e-05",0.263715702114932,NA,NA
"UTP18","UTP18",-1,-1,9,"5.6947289684417e-05",0.349485516793267,NA,NA
"FBXW7","FBXW7",-1,-1,9,"5.92158076039295e-05",0.363348195457711,NA,NA
"SEH1L","SEH1L",-1,-1,9,"6.08663407212218e-05",0.373415000324696,NA,NA
"KRAS","KRAS",-1,-1,9,"6.24833913842604e-05",0.383273122751053,NA,NA
"BUD31","BUD31",-1,-1,8,"6.74620247697044e-05",0.413744597912597,NA,NA
"DHX38","DHX38",-1,-1,9,"6.91538203415609e-05",0.424051226334451,NA,NA
"TAF5","TAF5",-1,-1,9,"7.12345775951695e-05",0.436739195235984,NA,NA
"ATP6V1B2","ATP6V1B2",-1,-1,9,"7.73728291121323e-05",0.474295442457371,NA,NA
"UBA3","UBA3",-1,-1,7,"9.1100143623235e-05",0.558352780266807,NA,NA
"PPP4C","PPP4C",-1,-1,9,"0.000102332007391404",0.627090541294524,NA,NA
"MED27","MED27",-1,-1,9,"0.000104592248136637",0.640836704333175,NA,NA
"CRSP8P","CRSP8P",-1,-1,9,"0.000104592248136637",0.640836704333175,NA,NA
"STIL","STIL",-1,-1,9,"0.000111318617028844",0.68182652930167,NA,NA
"PLK1","PLK1",-1,-1,9,"0.000124099308476566",0.75998416511049,NA,NA
"DDX46","DDX46",-1,-1,9,"0.000129693801326547",0.794115145522447,NA,NA
"SORD","SORD",-1,-1,8,"0.000154830094355241",0.947869837642785,NA,NA
"RBM28","RBM28",-1,-1,7,"0.000180916650442176",1,NA,NA
"DDX27","DDX27",-1,-1,8,"0.000190814871907641",1,NA,NA
"MIR205HG","MIR205HG",-1,-1,9,"0.000193524790314425",1,NA,NA
"CDK12","CDK12",-1,-1,9,"0.000193977565537296",1,NA,NA
"C9orf96","C9orf96",-1,-1,9,"0.000195989240319938",1,NA,NA
"GPR68","GPR68",-1,-1,9,"0.000198170228244643",1,NA,NA
"RASGEF1A","RASGEF1A",-1,-1,9,"0.000204665034046814",1,NA,NA
"DNMT1","DNMT1",-1,-1,8,"0.000216889032244483",1,NA,NA
"UBA2","UBA2",-1,-1,8,"0.000219832574265499",1,NA,NA
"UBE2G1","UBE2G1",-1,-1,8,"0.00022395477926207",1,NA,NA
"EP400","EP400",-1,-1,9,"0.000231649830713998",1,NA,NA
"MED1","MED1",-1,-1,9,"0.000234298044325176",1,NA,NA
"DDX49","DDX49",-1,-1,9,"0.000236080056196686",1,NA,NA
"RBBP4","RBBP4",-1,-1,9,"0.000240370982627747",1,NA,NA
"PRPF4","PRPF4",-1,-1,8,"0.000246639432658791",1,NA,NA
"NSF","NSF",-1,-1,8,"0.000254438974807703",1,NA,NA
"MKI67IP","MKI67IP",-1,-1,9,"0.000269668979391291",1,NA,NA
"WDR36","WDR36",-1,-1,7,"0.0002697067433306",1,NA,NA
"CUL4A","CUL4A",-1,-1,7,"0.00027489866946806",1,NA,NA
"SUPT16H","SUPT16H",-1,-1,9,"0.000276376345541451",1,NA,NA
"SMURF1","SMURF1",-1,-1,8,"0.000285697729711321",1,NA,NA
"TRPM7","TRPM7",-1,-1,8,"0.00028647314078234",1,NA,NA
"ACVR1B","ACVR1B",-1,-1,9,"0.000298423227183431",1,NA,NA
"SMYD1","SMYD1",-1,-1,8,"0.000328745824911381",1,NA,NA
"UBE2MP1","UBE2MP1",-1,-1,9,"0.00036548645104717",1,NA,NA
"ILF3","ILF3",-1,-1,9,"0.000367048753514343",1,NA,NA
"NOL11","NOL11",-1,-1,9,"0.000374246335250072",1,NA,NA
"WDR75","WDR75",-1,-1,9,"0.000379463108245437",1,NA,NA
"WDR3","WDR3",-1,-1,6,"0.000379753311228748",1,NA,NA
"CASC5","CASC5",-1,-1,8,"0.000392855915718471",1,NA,NA
"ABCF1","ABCF1",-1,-1,9,"0.000398696633227003",1,NA,NA
"SMARCD1","SMARCD1",-1,-1,9,"0.000404959672365646",1,NA,NA
"UBE2D3","UBE2D3",-1,-1,9,"0.000413544003423194",1,NA,NA
"PNN","PNN",-1,-1,9,"0.000456274976078475",1,NA,NA
"MED7","MED7",-1,-1,9,"0.000458767951306061",1,NA,NA
"PPP2R2A","PPP2R2A",-1,-1,9,"0.000493202216893751",1,NA,NA
"GNL2","GNL2",-1,-1,9,"0.000511697387134635",1,NA,NA
"SLAMF7","SLAMF7",-1,-1,9,"0.000519093058825693",1,NA,NA
"USP5","USP5",-1,-1,9,"0.000528829468375958",1,NA,NA
"RBPJL","RBPJL",-1,-1,8,"0.000533459215423249",1,NA,NA
"RRP9","RRP9",-1,-1,9,"0.000556014106759206",1,NA,NA
"NHLH2","NHLH2",-1,-1,6,"0.000574640393421921",1,NA,NA
"SSB","SSB",-1,-1,9,"0.000586174998952749",1,NA,NA
"KDM1A","KDM1A",-1,-1,8,"0.000599886446319586",1,NA,NA
"DDX42","DDX42",-1,-1,9,"0.000635603826719566",1,NA,NA
"DLST","DLST",-1,-1,9,"0.000682571712633528",1,NA,NA
"GNAS","GNAS",-1,-1,8,"0.000684450769627087",1,NA,NA
"CIRH1A","CIRH1A",-1,-1,9,"0.00070641592371945",1,NA,NA
"RGPD5","RGPD5",-1,-1,9,"0.000717870961863154",1,NA,NA
"RGPD4","RGPD4",-1,-1,9,"0.000717870961863154",1,NA,NA
"RGPD1","RGPD1",-1,-1,9,"0.000717870961863154",1,NA,NA
"RGPD3","RGPD3",-1,-1,9,"0.000717870961863154",1,NA,NA
"RGPD8","RGPD8",-1,-1,9,"0.000717870961863154",1,NA,NA
"RBM19","RBM19",-1,-1,7,"0.000733895330697343",1,NA,NA
"PTBP1","PTBP1",-1,-1,8,"0.000775475386977864",1,NA,NA
"ELL3","ELL3",-1,-1,8,"0.000786330559611637",1,NA,NA
"SIGLEC15","SIGLEC15",-1,-1,9,"0.000796355073053312",1,NA,NA
"ARID4B","ARID4B",-1,-1,9,"0.000798323100176912",1,NA,NA
"THEM4","THEM4",-1,-1,8,"0.000840231543589143",1,NA,NA
"CPEB2","CPEB2",-1,-1,9,"0.000845646903339103",1,NA,NA
"AKR7A3","AKR7A3",-1,-1,8,"0.000865074135426802",1,NA,NA
"GNB1L","GNB1L",-1,-1,9,"0.000866581397209631",1,NA,NA
"NGFR","NGFR",-1,-1,9,"0.000900341819083716",1,NA,NA
"VPS28","VPS28",-1,-1,9,"0.000900680111550423",1,NA,NA
"MASP2","MASP2",-1,-1,9,"0.0009035510703016",1,NA,NA
"UBE2M","UBE2M",-1,-1,8,"0.000908289968505671",1,NA,NA
"USP7","USP7",-1,-1,9,"0.000940169706684646",1,NA,NA
"NCBP2","NCBP2",-1,-1,9,"0.000956758584597428",1,NA,NA
"TYMS","TYMS",-1,-1,8,"0.000965564346233294",1,NA,NA
"FBXW5","FBXW5",-1,-1,9,"0.00102431260570812",1,NA,NA
"SLC39A1","SLC39A1",-1,-1,9,"0.00103658352349967",1,NA,NA
"PPP1R10","PPP1R10",-1,-1,8,"0.00106864705014798",1,NA,NA
"PRKAG3","PRKAG3",-1,-1,9,"0.00112746430745425",1,NA,NA
"FLCN","FLCN",-1,-1,9,"0.00113382641626425",1,NA,NA
"TRAF3","TRAF3",-1,-1,8,"0.00114282810708854",1,NA,NA
"CHAF1B","CHAF1B",-1,-1,9,"0.0011760966053177",1,NA,NA
"EPHA2","EPHA2",-1,-1,9,"0.00117788069151514",1,NA,NA
"FBXO10","FBXO10",-1,-1,9,"0.00120563702065224",1,NA,NA
"ANKRD28","ANKRD28",-1,-1,9,"0.00120707046827528",1,NA,NA
"CTCF","CTCF",-1,-1,9,"0.0012338912266443",1,NA,NA
"NAA15","NAA15",-1,-1,9,"0.00124492930181153",1,NA,NA
"MRE11A","MRE11A",-1,-1,7,"0.00126282083286577",1,NA,NA
"PPM1G","PPM1G",-1,-1,9,"0.00128488117595216",1,NA,NA
"LRRC24","LRRC24",-1,-1,9,"0.00130243809004738",1,NA,NA
"LATS2","LATS2",-1,-1,8,"0.00130517265401686",1,NA,NA
"EIF3H","EIF3H",-1,-1,9,"0.00136593429257881",1,NA,NA
"ELL","ELL",-1,-1,7,"0.00138594251592572",1,NA,NA
"ANKRD44","ANKRD44",-1,-1,9,"0.00138643111365611",1,NA,NA
"AAMP","AAMP",-1,-1,9,"0.00138737148173318",1,NA,NA
"CRTC1","CRTC1",-1,-1,9,"0.00138824136794446",1,NA,NA
"TOPBP1","TOPBP1",-1,-1,9,"0.00139601240092335",1,NA,NA
"ADH4","ADH4",-1,-1,9,"0.00142175149657264",1,NA,NA
"UBE2J1","UBE2J1",-1,-1,8,"0.00144966137794333",1,NA,NA
"AP2S1","AP2S1",-1,-1,9,"0.00146346668956221",1,NA,NA
"QDPR","QDPR",-1,-1,9,"0.00148658559396297",1,NA,NA
"TMEM117","TMEM117",-1,-1,9,"0.0015031469053407",1,NA,NA
"MGP","MGP",-1,-1,9,"0.00152989533067283",1,NA,NA
"SGK3","SGK3",-1,-1,9,"0.00153809871642396",1,NA,NA
"C8orf44-SGK3","C8orf44-SGK3",-1,-1,9,"0.00153809871642396",1,NA,NA
"LAMA3","LAMA3",-1,-1,8,"0.001570632222611",1,NA,NA
"ACTG1","ACTG1",-1,-1,9,"0.00162353791624237",1,NA,NA
"UTP15","UTP15",-1,-1,9,"0.00162794257668386",1,NA,NA
"UBE3B","UBE3B",-1,-1,8,"0.00164909739523289",1,NA,NA
"SOCS6","SOCS6",-1,-1,9,"0.00165785947039765",1,NA,NA
"PLK4","PLK4",-1,-1,9,"0.00167437740789722",1,NA,NA
"C1QTNF1","C1QTNF1",-1,-1,9,"0.00168622394376694",1,NA,NA
"SKIV2L2","SKIV2L2",-1,-1,9,"0.00170207632209807",1,NA,NA
"XAF1","XAF1",-1,-1,9,"0.00172950226187651",1,NA,NA
"WDR52","WDR52",-1,-1,8,"0.00173601061910811",1,NA,NA
"DNMT3L","DNMT3L",-1,-1,9,"0.00174199839114852",1,NA,NA
"RBM39","RBM39",-1,-1,9,"0.00179140262610289",1,NA,NA
"CD2AP","CD2AP",-1,-1,9,"0.00179965603565735",1,NA,NA
"CENPW","CENPW",-1,-1,9,"0.00180339053833545",1,NA,NA
"SUSD4","SUSD4",-1,-1,9,"0.00180985852477256",1,NA,NA
"NTHL1","NTHL1",-1,-1,9,"0.00182277331317415",1,NA,NA
"ACTR8","ACTR8",-1,-1,9,"0.00187521978955785",1,NA,NA
"PPYR1","PPYR1",-1,-1,8,"0.00187556192665761",1,NA,NA
"NWD1","NWD1",-1,-1,8,"0.00190121581613856",1,NA,NA
"NLE1","NLE1",-1,-1,9,"0.0019170661800566",1,NA,NA
"RAB17","RAB17",-1,-1,9,"0.00196726227235067",1,NA,NA
"ZNF165","ZNF165",-1,-1,9,"0.00197021652817519",1,NA,NA
"FGR","FGR",-1,-1,9,"0.00199791330062682",1,NA,NA
"CXCR6","CXCR6",-1,-1,9,"0.00202905854927415",1,NA,NA
"RPA3","RPA3",-1,-1,8,"0.0021368760501469",1,NA,NA
"WDR7","WDR7",-1,-1,8,"0.00216628816495756",1,NA,NA
"ASNS","ASNS",-1,-1,8,"0.00219503702545143",1,NA,NA
"DDX19B","DDX19B",-1,-1,9,"0.002207464162992",1,NA,NA
"LOC643387","LOC643387",-1,-1,9,"0.00221722263312418",1,NA,NA
"KAT5","KAT5",-1,-1,8,"0.00221976491212417",1,NA,NA
"TBR1","TBR1",-1,-1,9,"0.00225856201586061",1,NA,NA
"DDX5","DDX5",-1,-1,9,"0.00235550140933338",1,NA,NA
"SOD2","SOD2",-1,-1,9,"0.00245005988809266",1,NA,NA
"DDX47","DDX47",-1,-1,9,"0.0025194687308403",1,NA,NA
"SERPINB8","SERPINB8",-1,-1,9,"0.00256275618036073",1,NA,NA
"CDK7","CDK7",-1,-1,9,"0.00257129620090357",1,NA,NA
"DHX16","DHX16",-1,-1,9,"0.00262022354511615",1,NA,NA
"MCM7","MCM7",-1,-1,8,"0.00266574123481267",1,NA,NA
"HMGB1","HMGB1",-1,-1,9,"0.0027464318150382",1,NA,NA
"CHEK1","CHEK1",-1,-1,9,"0.00277933617846327",1,NA,NA
"HNRNPCL1","HNRNPCL1",-1,-1,8,"0.0028080136519002",1,NA,NA
"PELP1","PELP1",-1,-1,8,"0.00282852989014803",1,NA,NA
"BIRC5","BIRC5",-1,-1,9,"0.00289029980808675",1,NA,NA
"RGPD2","RGPD2",-1,-1,8,"0.00294315194885097",1,NA,NA
"THOC3","THOC3",-1,-1,9,"0.00294374973972023",1,NA,NA
"METTL2A","METTL2A",-1,-1,9,"0.00297373350992336",1,NA,NA
"ATP1A1","ATP1A1",-1,-1,6,"0.00299118641313889",1,NA,NA
"WEE1","WEE1",-1,-1,9,"0.00304887264737197",1,NA,NA
"DDX24","DDX24",-1,-1,9,"0.00305142765425392",1,NA,NA
"KATNB1","KATNB1",-1,-1,9,"0.00308474640798961",1,NA,NA
"ARHGAP11A","ARHGAP11A",-1,-1,7,"0.0031325095364082",1,NA,NA
"EGLN2","EGLN2",-1,-1,9,"0.00322243987990367",1,NA,NA
"DPY30","DPY30",-1,-1,9,"0.00323577378944995",1,NA,NA
"CXCL5","CXCL5",-1,-1,8,"0.00324066481505014",1,NA,NA
"AJAP1","AJAP1",-1,-1,7,"0.00327995869913233",1,NA,NA
"SYDE1","SYDE1",-1,-1,8,"0.00334428848693225",1,NA,NA
"ATP6V1A","ATP6V1A",-1,-1,9,"0.00336126000054693",1,NA,NA
"ANKRD36","ANKRD36",-1,-1,8,"0.00336969481392813",1,NA,NA
"AATF","AATF",-1,-1,9,"0.00338290325754498",1,NA,NA
"CAND1","CAND1",-1,-1,9,"0.00339299026747986",1,NA,NA
"RGPD6","RGPD6",-1,-1,8,"0.00344896311769949",1,NA,NA
"ARFRP1","ARFRP1",-1,-1,8,"0.00347351469771662",1,NA,NA
"ZNF652","ZNF652",-1,-1,9,"0.00349612297895219",1,NA,NA
"SRP19","SRP19",-1,-1,8,"0.00354729044351254",1,NA,NA
"RNPC3","RNPC3",-1,-1,8,"0.00358016403988437",1,NA,NA
"ALDH4A1","ALDH4A1",-1,-1,9,"0.00358645513463496",1,NA,NA
"CENPE","CENPE",-1,-1,9,"0.00358831626115108",1,NA,NA
"THRAP3","THRAP3",-1,-1,9,"0.00359296397865838",1,NA,NA
"CABP2","CABP2",-1,-1,9,"0.00363741871309176",1,NA,NA
"CD300E","CD300E",-1,-1,8,"0.00368017496428685",1,NA,NA
"CDC73","CDC73",-1,-1,9,"0.00371968692185631",1,NA,NA
"MCM6","MCM6",-1,-1,9,"0.00375694701524432",1,NA,NA
"SUMO2","SUMO2",-1,-1,9,"0.00386713199671718",1,NA,NA
"PLK2","PLK2",-1,-1,9,"0.00389117022671692",1,NA,NA
"RRM2","RRM2",-1,-1,8,"0.00391577282922351",1,NA,NA
"PPP6C","PPP6C",-1,-1,9,"0.00392064589330854",1,NA,NA
"KAT8","KAT8",-1,-1,9,"0.00393222695780371",1,NA,NA
"PROCR","PROCR",-1,-1,9,"0.00394476689359102",1,NA,NA
"SRSF6","SRSF6",-1,-1,8,"0.00398269728909673",1,NA,NA
"MYC","MYC",-1,-1,8,"0.00407294326989238",1,NA,NA
"NAA30","NAA30",-1,-1,9,"0.00412128752236052",1,NA,NA
"ACIN1","ACIN1",-1,-1,8,"0.00414127009633858",1,NA,NA
"PABPN1","PABPN1",-1,-1,9,"0.00416265968780516",1,NA,NA
"RNF20","RNF20",-1,-1,8,"0.0041644049897761",1,NA,NA
"NDUFC2","NDUFC2",-1,-1,9,"0.00418970983086231",1,NA,NA
"WDR37","WDR37",-1,-1,7,"0.00426070931515921",1,NA,NA
"BUB3","BUB3",-1,-1,9,"0.00428480331524883",1,NA,NA
"ABR","ABR",-1,-1,9,"0.00429080047158803",1,NA,NA
"CYP2W1","CYP2W1",-1,-1,7,"0.00433064267985039",1,NA,NA
"WIPI2","WIPI2",-1,-1,7,"0.00449852202320999",1,NA,NA
"LOC440354","LOC440354",-1,-1,9,"0.00456246641076785",1,NA,NA
"LOC595101","LOC595101",-1,-1,9,"0.00456246641076785",1,NA,NA
"LOC100271836","LOC100271836",-1,-1,9,"0.00456246641076785",1,NA,NA
"SLC47A2","SLC47A2",-1,-1,9,"0.00458191709951383",1,NA,NA
"USF2","USF2",-1,-1,9,"0.00462325674928221",1,NA,NA
"NACA2","NACA2",-1,-1,9,"0.00463215997527655",1,NA,NA
"GRK6","GRK6",-1,-1,9,"0.00466640915456529",1,NA,NA
"HOXB4","HOXB4",-1,-1,9,"0.00485658409643375",1,NA,NA
"NUP43","NUP43",-1,-1,9,"0.00489249234598554",1,NA,NA
"SRSF11","SRSF11",-1,-1,9,"0.00491830835491602",1,NA,NA
"ATN1","ATN1",-1,-1,8,"0.00495374921032909",1,NA,NA
"DHX37","DHX37",-1,-1,9,"0.0049601624532577",1,NA,NA
"CCNB1","CCNB1",-1,-1,9,"0.00507725359879685",1,NA,NA
"CELF6","CELF6",-1,-1,9,"0.00513698839369092",1,NA,NA
"ARHGEF38","ARHGEF38",-1,-1,9,"0.00520305773614727",1,NA,NA
"AFP","AFP",-1,-1,8,"0.00522179431678371",1,NA,NA
"PSMC4","PSMC4",-1,-1,9,"0.00530659965801294",1,NA,NA
"EEF1G","EEF1G",-1,-1,9,"0.00533848033781048",1,NA,NA
"MCPH1","MCPH1",-1,-1,8,"0.00537309261167918",1,NA,NA
"ARHGAP35","ARHGAP35",-1,-1,9,"0.00545528841355525",1,NA,NA
"PTGER3","PTGER3",-1,-1,9,"0.00553458392915296",1,NA,NA
"TAOK1","TAOK1",-1,-1,9,"0.0056374514747437",1,NA,NA
"ACLY","ACLY",-1,-1,9,"0.00567820829439492",1,NA,NA
"INTS4","INTS4",-1,-1,9,"0.00571159646105956",1,NA,NA
"BBC3","BBC3",-1,-1,8,"0.00572652163919518",1,NA,NA
"CLASP1","CLASP1",-1,-1,9,"0.00572924210809744",1,NA,NA
"OLIG3","OLIG3",-1,-1,9,"0.00575813859947327",1,NA,NA
"PDGFRA","PDGFRA",-1,-1,8,"0.00595226663489834",1,NA,NA
"MCRS1","MCRS1",-1,-1,9,"0.0059822724341354",1,NA,NA
"WDR61","WDR61",-1,-1,9,"0.00600191574349263",1,NA,NA
"CIT","CIT",-1,-1,9,"0.00600574148274735",1,NA,NA
"PCGF1","PCGF1",-1,-1,9,"0.0060132052551064",1,NA,NA
"ACTR5","ACTR5",-1,-1,9,"0.00604067928926211",1,NA,NA
"PRKCZ","PRKCZ",-1,-1,7,"0.00605932728493297",1,NA,NA
"ALDH3B1","ALDH3B1",-1,-1,9,"0.00612212464644768",1,NA,NA
"SHPRH","SHPRH",-1,-1,9,"0.00612252541827751",1,NA,NA
"LOC728554","LOC728554",-1,-1,8,"0.0061346331951031",1,NA,NA
"RALGAPA1","RALGAPA1",-1,-1,9,"0.00615540752614308",1,NA,NA
"KCTD1","KCTD1",-1,-1,8,"0.00620029969628366",1,NA,NA
"CDC37","CDC37",-1,-1,9,"0.00623554252262026",1,NA,NA
"PAK1IP1","PAK1IP1",-1,-1,9,"0.0062560149981773",1,NA,NA
"STK16","STK16",-1,-1,9,"0.00636870374401455",1,NA,NA
"GMNN","GMNN",-1,-1,9,"0.00637124745316064",1,NA,NA
"MDM2","MDM2",-1,-1,9,"0.00646937284498295",1,NA,NA
"FGF10","FGF10",-1,-1,7,"0.0064715726689607",1,NA,NA
"YAF2","YAF2",-1,-1,9,"0.00651641290681049",1,NA,NA
"MED10","MED10",-1,-1,9,"0.00653958626013151",1,NA,NA
"KCTD9","KCTD9",-1,-1,8,"0.00657350159426373",1,NA,NA
"PPP1R12A","PPP1R12A",-1,-1,9,"0.00658015429007175",1,NA,NA
"FCGRT","FCGRT",-1,-1,9,"0.00660519974022011",1,NA,NA
"UBE2L3","UBE2L3",-1,-1,8,"0.00679749470637914",1,NA,NA
"BTG1","BTG1",-1,-1,9,"0.006839588306914",1,NA,NA
"MED16","MED16",-1,-1,8,"0.006896793329908",1,NA,NA
"CFL1","CFL1",-1,-1,9,"0.00690780271083324",1,NA,NA
"PPP1CC","PPP1CC",-1,-1,8,"0.00692162107935756",1,NA,NA
"ALDH6A1","ALDH6A1",-1,-1,9,"0.00696335395962722",1,NA,NA
"KCNS2","KCNS2",-1,-1,9,"0.00699185903681698",1,NA,NA
"PRMT1","PRMT1",-1,-1,9,"0.00706468015934314",1,NA,NA
"HPGD","HPGD",-1,-1,7,"0.00708340502840632",1,NA,NA
"BMPER","BMPER",-1,-1,7,"0.00712830808844611",1,NA,NA
"KIF1B","KIF1B",-1,-1,7,"0.00714603150477178",1,NA,NA
"ATOH8","ATOH8",-1,-1,9,"0.00723458038196068",1,NA,NA
"CKMT2","CKMT2",-1,-1,9,"0.00725142794130385",1,NA,NA
"PARP9","PARP9",-1,-1,9,"0.00736813753590893",1,NA,NA
"KIF23","KIF23",-1,-1,9,"0.00746661273405536",1,NA,NA
"LYPD6B","LYPD6B",-1,-1,9,"0.00755309584168362",1,NA,NA
"ARHGEF19","ARHGEF19",-1,-1,9,"0.0076028458339249",1,NA,NA
"CTDP1","CTDP1",-1,-1,8,"0.00764103173917441",1,NA,NA
"WDR74","WDR74",-1,-1,9,"0.00766025845021867",1,NA,NA
"TBC1D17","TBC1D17",-1,-1,9,"0.00771305192852634",1,NA,NA
"BFSP1","BFSP1",-1,-1,9,"0.0077403575839563",1,NA,NA
"DDX56","DDX56",-1,-1,7,"0.00774793862199852",1,NA,NA
"CLDN3","CLDN3",-1,-1,8,"0.00781083864422705",1,NA,NA
"PLD1","PLD1",-1,-1,8,"0.00800100138927273",1,NA,NA
"HNRNPA1","HNRNPA1",-1,-1,9,"0.00800642857815181",1,NA,NA
"HNRNPA1L2","HNRNPA1L2",-1,-1,9,"0.00800642857815181",1,NA,NA
"HNRNPA1P10","HNRNPA1P10",-1,-1,9,"0.00800642857815181",1,NA,NA
"GTF3C2","GTF3C2",-1,-1,9,"0.0080072889487931",1,NA,NA
"OSBPL2","OSBPL2",-1,-1,8,"0.00803894305582842",1,NA,NA
"SMAP1","SMAP1",-1,-1,8,"0.00812308364635472",1,NA,NA
"ANKRD46","ANKRD46",-1,-1,9,"0.00832568575563608",1,NA,NA
"PRODH2","PRODH2",-1,-1,8,"0.00832770931794025",1,NA,NA
"KCNJ14","KCNJ14",-1,-1,9,"0.00836438362325576",1,NA,NA
